Source,Target,Type,Id,Label,Weight,Color
mathematics,primary school,Undirected,58,,2,"#000000"
mathematics,professional development,Undirected,59,,2,"#000000"
mathematics,programming,Undirected,60,,2,"#000000"
mathematics education,perceived difficulty,Undirected,61,,2,"#000000"
mathematics education,problem solving,Undirected,62,,2,"#000000"
mathematics education,research methods,Undirected,63,,2,"#000000"
mathematics education,sustainable development goals,Undirected,64,,2,"#000000"
mathematics education,teacher noticing,Undirected,65,,2,"#000000"
mathematics teacher educators,professional development,Undirected,66,,2,"#000000"
mathematics teaching,whole-class discussion,Undirected,67,,2,"#000000"
multilingualism,primary education,Undirected,68,,2,"#000000"
noticing,professional development,Undirected,69,,2,"#000000"
play-responsive teaching,preschool,Undirected,70,,2,"#000000"
preservice teachers,programming,Undirected,71,,2,"#000000"
preservice teachers,teacher education,Undirected,72,,2,"#000000"
primary education,sustainability,Undirected,73,,2,"#000000"
primary school,professional development,Undirected,74,,2,"#000000"
primary school,programming,Undirected,75,,2,"#000000"
professional development,task design,Undirected,76,,2,"#000000"
statistics education,teacher education,Undirected,77,,2,"#000000"
teacher noticing,video case,Undirected,78,,2,"#000000"
(pre-)structuralist praxeologies,calculus,Undirected,79,,1,"#000000"
(pre-)structuralist praxeologies,continuity,Undirected,80,,1,"#000000"
(pre-)structuralist praxeologies,path-connectedness,Undirected,81,,1,"#000000"
(pre-)structuralist praxeologies,real analysis,Undirected,82,,1,"#000000"
20th century,curricula,Undirected,83,,1,"#000000"
20th century,middle school,Undirected,84,,1,"#000000"
20th century,primary education,Undirected,85,,1,"#000000"
20th century,professional education,Undirected,86,,1,"#000000"
3d design,3d printing,Undirected,87,,1,"#000000"
3d design,curvature,Undirected,88,,1,"#000000"
3d design,intrinsic geometry,Undirected,89,,1,"#000000"
3d design,programming,Undirected,90,,1,"#000000"
3d design and printing,low achievers,Undirected,91,,1,"#000000"
3d design and printing,mathematical modelling,Undirected,92,,1,"#000000"
3d design and printing,opportunities to learn,Undirected,93,,1,"#000000"
3d printing,curvature,Undirected,96,,1,"#000000"
3d printing,intrinsic geometry,Undirected,97,,1,"#000000"
3d printing,programming,Undirected,98,,1,"#000000"
3d virtual models,animation,Undirected,99,,1,"#000000"
3d virtual models,geogebra,Undirected,100,,1,"#000000"
3d virtual models,straight-line helicoids,Undirected,101,,1,"#000000"
3d virtual models,visuospatial abilities,Undirected,102,,1,"#000000"
3d-printing,3dmp,Undirected,103,,1,"#000000"
3d-printing,debugging,Undirected,104,,1,"#000000"
3d-printing,design-based research,Undirected,105,,1,"#000000"
3d-printing,dynamic manipulation,Undirected,106,,1,"#000000"
3d-printing,interview,Undirected,107,,1,"#000000"
3d-printing,manipulatives,Undirected,108,,1,"#000000"
3d-printing,tpack,Undirected,109,,1,"#000000"
3d-techno-pedagogical integration matrix,mathematical quality of instruction,Undirected,110,,1,"#000000"
3d-techno-pedagogical integration matrix,pre-service mathematics teachers,Undirected,111,,1,"#000000"
3d-techno-pedagogical integration matrix,samr model,Undirected,112,,1,"#000000"
3d-techno-pedagogical integration matrix,tpack,Undirected,113,,1,"#000000"
3dmp,interview,Undirected,114,,1,"#000000"
3dmp,manipulatives,Undirected,115,,1,"#000000"
3dmp,tpack,Undirected,116,,1,"#000000"
6th grade students,mathematics education,Undirected,117,,1,"#000000"
6th grade students,programmable robots,Undirected,118,,1,"#000000"
6th grade students,programming,Undirected,119,,1,"#000000"
abstraction,ar,Undirected,123,,1,"#000000"
abstraction,block-based programming,Undirected,124,,1,"#000000"
abstraction,computational thinking,Undirected,125,,1,"#000000"
abstraction,concretion,Undirected,126,,1,"#000000"
abstraction,craft,Undirected,127,,1,"#000000"
abstraction,ct,Undirected,128,,1,"#000000"
abstraction,embodied cognition,Undirected,129,,1,"#000000"
abstraction,experience,Undirected,130,,1,"#000000"
abstraction,field of promoted actions,Undirected,131,,1,"#000000"
abstraction,geometry,Undirected,132,,1,"#000000"
abstraction,making,Undirected,133,,1,"#000000"
abstraction,mathematical thinking,Undirected,134,,1,"#000000"
abstraction,scratch,Undirected,135,,1,"#000000"
abstraction,secondary mathematics education,Undirected,136,,1,"#000000"
academic motivation,goal structures,Undirected,138,,1,"#000000"
academic motivation,lower secondary school,Undirected,139,,1,"#000000"
academic motivation,mathematics-related affect,Undirected,140,,1,"#000000"
achievement test,covid-19 pandemic,Undirected,145,,1,"#000000"
achievement test,mathematics achievement,Undirected,146,,1,"#000000"
achievement test,pre-course mathematics,Undirected,147,,1,"#000000"
achievement test,secondary school mathematics,Undirected,148,,1,"#000000"
action research,adult learning,Undirected,149,,1,"#000000"
action research,change agents,Undirected,150,,1,"#000000"
action research,disadvantaged communities,Undirected,151,,1,"#000000"
action research,mathematics teacher educator,Undirected,152,,1,"#000000"
action research,professional development,Undirected,153,,1,"#000000"
action research,re-engagement,Undirected,154,,1,"#000000"
active learning,commognition,Undirected,155,,1,"#000000"
active learning,communities of practice,Undirected,156,,1,"#000000"
active learning,inter-community partnerships,Undirected,157,,1,"#000000"
activity theory,inquiry-based learning,Undirected,158,,1,"#000000"
activity theory,manifestations of contradictions,Undirected,159,,1,"#000000"
activity theory,pre-service teachers,Undirected,160,,1,"#000000"
activity theory,problem posing,Undirected,161,,1,"#000000"
actual and designated identity,mathematics,Undirected,162,,1,"#000000"
actual and designated identity,preservice teachers,Undirected,163,,1,"#000000"
actual and designated identity,programming,Undirected,164,,1,"#000000"
adam ries,history of mathematics education,Undirected,165,,1,"#000000"
adam ries,numeracy,Undirected,166,,1,"#000000"
adam ries,textbook research,Undirected,167,,1,"#000000"
adaptation,early mathematics,Undirected,168,,1,"#000000"
adaptation,preschool,Undirected,169,,1,"#000000"
adaptive expertise,equations,Undirected,170,,1,"#000000"
adaptive expertise,eye-tracking,Undirected,171,,1,"#000000"
adaptive expertise,idiosyncratic structures,Undirected,172,,1,"#000000"
adaptive expertise,solving strategies,Undirected,173,,1,"#000000"
adaptive teaching,diagnostic judgment,Undirected,174,,1,"#000000"
adaptive teaching,early arithmetic education,Undirected,175,,1,"#000000"
adaptive teaching,teacher education,Undirected,176,,1,"#000000"
adaptive teaching,vignettes,Undirected,177,,1,"#000000"
adaptivity,asynchronous online pd,Undirected,178,,1,"#000000"
adaptivity,collaboration,Undirected,179,,1,"#000000"
adaptivity,representations of practice,Undirected,180,,1,"#000000"
adaptivity,teacher learning,Undirected,181,,1,"#000000"
addition,counting,Undirected,182,,1,"#000000"
addition,microgenetic,Undirected,183,,1,"#000000"
addition,subitising,Undirected,184,,1,"#000000"
addition,variability,Undirected,185,,1,"#000000"
additional educational needs,bilingualism,Undirected,190,,1,"#000000"
additional educational needs,clil,Undirected,191,,1,"#000000"
additional educational needs,summative mathematics assessments,Undirected,192,,1,"#000000"
additive problems,decision level,Undirected,193,,1,"#000000"
additive problems,decision-making,Undirected,194,,1,"#000000"
additive problems,preservice teachers,Undirected,195,,1,"#000000"
additive problems,semantic structure,Undirected,196,,1,"#000000"
adult basic education,adults learning mathematics,Undirected,201,,1,"#000000"
adult basic education,numeracy,Undirected,202,,1,"#000000"
adult education,empowerment,Undirected,203,,1,"#000000"
adult education,experiential learning,Undirected,204,,1,"#000000"
adult education,gender differences,Undirected,205,,1,"#000000"
adult education,inclusion,Undirected,206,,1,"#000000"
adult education,informal mathematics education,Undirected,207,,1,"#000000"
adult education,prison context,Undirected,208,,1,"#000000"
adult education,problem solving,Undirected,209,,1,"#000000"
adult learning,disadvantaged communities,Undirected,210,,1,"#000000"
adult learning,re-engagement,Undirected,211,,1,"#000000"
adult skills,assessment,Undirected,212,,1,"#000000"
adult skills,numeracy,Undirected,213,,1,"#000000"
adult skills,piaac,Undirected,214,,1,"#000000"
adult skills,second cycle,Undirected,215,,1,"#000000"
adults,anxiety,Undirected,216,,1,"#000000"
adults,common european numeracy framework,Undirected,217,,1,"#000000"
adults,examinations,Undirected,218,,1,"#000000"
adults,instruments,Undirected,219,,1,"#000000"
adults,numeracy,Undirected,220,,1,"#000000"
adults,self-efficacy,Undirected,221,,1,"#000000"
adults learning mathematics,numeracy,Undirected,222,,1,"#000000"
aesthetic,ecological,Undirected,223,,1,"#000000"
aesthetic,embodiment,Undirected,224,,1,"#000000"
aesthetic,geological,Undirected,225,,1,"#000000"
aesthetic,materiality,Undirected,226,,1,"#000000"
aesthetic,political,Undirected,227,,1,"#000000"
aesthetics,covariational reasoning,Undirected,228,,1,"#000000"
aesthetics,educational technology,Undirected,229,,1,"#000000"
aesthetics,music,Undirected,230,,1,"#000000"
aesthetics,periodic functions,Undirected,231,,1,"#000000"
affect,beliefs,Undirected,232,,1,"#000000"
affect,beyond failure-and-success,Undirected,233,,1,"#000000"
affect,bodies,Undirected,234,,1,"#000000"
affect,cognition,Undirected,235,,1,"#000000"
affect,concepts,Undirected,236,,1,"#000000"
affect,creating together,Undirected,237,,1,"#000000"
affect,early mathematics education,Undirected,238,,1,"#000000"
affect,emotions,Undirected,239,,1,"#000000"
affect,graphing,Undirected,240,,1,"#000000"
affect,identification,Undirected,241,,1,"#000000"
affect,preservice primary teachers,Undirected,242,,1,"#000000"
affect,proof,Undirected,243,,1,"#000000"
affect,proof construction,Undirected,244,,1,"#000000"
affect,relations in affective variables,Undirected,245,,1,"#000000"
affect,sad affects,Undirected,246,,1,"#000000"
affect,secondary mathematics,Undirected,247,,1,"#000000"
affect,survey,Undirected,248,,1,"#000000"
affect,teacher education,Undirected,249,,1,"#000000"
affective system,algebra,Undirected,250,,1,"#000000"
affective system,high school,Undirected,251,,1,"#000000"
affective system,proof awareness,Undirected,252,,1,"#000000"
ai,attention,Undirected,253,,1,"#000000"
ai,epistemic logic,Undirected,254,,1,"#000000"
ai,interaction,Undirected,255,,1,"#000000"
ai,narrative analysis,Undirected,256,,1,"#000000"
ai,preservice teachers,Undirected,257,,1,"#000000"
ai,qualitative analysis,Undirected,258,,1,"#000000"
ai,secondary-tertiary transition,Undirected,259,,1,"#000000"
ai education,machine learning,Undirected,260,,1,"#000000"
ai education,mathematics education,Undirected,261,,1,"#000000"
ai education,support vector machine,Undirected,262,,1,"#000000"
aims of modelling,general education,Undirected,263,,1,"#000000"
aims of modelling,mathematical modelling,Undirected,264,,1,"#000000"
aims of modelling,problem situations,Undirected,265,,1,"#000000"
al-khwarizmi,algebra,Undirected,266,,1,"#000000"
al-khwarizmi,area,Undirected,267,,1,"#000000"
al-khwarizmi,diagrams,Undirected,268,,1,"#000000"
al-khwarizmi,quadratic,Undirected,269,,1,"#000000"
algebra,analytical tool,Undirected,270,,1,"#000000"
algebra,area,Undirected,271,,1,"#000000"
algebra,bi-institutional lesson study,Undirected,272,,1,"#000000"
algebra,conceptual understanding,Undirected,273,,1,"#000000"
algebra,diagrams,Undirected,274,,1,"#000000"
algebra,equations,Undirected,275,,1,"#000000"
algebra,equity,Undirected,276,,1,"#000000"
algebra,formative assessment,Undirected,277,,1,"#000000"
algebra,high school,Undirected,278,,1,"#000000"
algebra,institutional transition problem,Undirected,279,,1,"#000000"
algebra,language as a resource,Undirected,280,,1,"#000000"
algebra,latent transition analysis,Undirected,281,,1,"#000000"
algebra,learning,Undirected,282,,1,"#000000"
algebra,learning trajectories,Undirected,283,,1,"#000000"
algebra,lesson study,Undirected,284,,1,"#000000"
algebra,linear equations,Undirected,285,,1,"#000000"
algebra,mathematics education,Undirected,286,,1,"#000000"
algebra,methodology,Undirected,287,,1,"#000000"
algebra,online formative assessment,Undirected,288,,1,"#000000"
algebra,praxeology,Undirected,289,,1,"#000000"
algebra,proof awareness,Undirected,290,,1,"#000000"
algebra,quadratic,Undirected,291,,1,"#000000"
algebra,rem,Undirected,292,,1,"#000000"
algebra,sign language,Undirected,293,,1,"#000000"
algebra,sorting task,Undirected,294,,1,"#000000"
algebra,stem majors,Undirected,295,,1,"#000000"
algebra,structure sense,Undirected,296,,1,"#000000"
algebra,task design,Undirected,297,,1,"#000000"
algebra,tertiary students,Undirected,298,,1,"#000000"
algebraic discourse,commognition,Undirected,303,,1,"#000000"
algebraic discourse,digital learning environments,Undirected,304,,1,"#000000"
algebraic discourse,equations,Undirected,305,,1,"#000000"
algebraic errors,algebraic manipulation,Undirected,306,,1,"#000000"
algebraic errors,algebraic sense,Undirected,307,,1,"#000000"
algebraic errors,higher education,Undirected,308,,1,"#000000"
algebraic errors,structural sense,Undirected,309,,1,"#000000"
algebraic manipulation,algebraic sense,Undirected,310,,1,"#000000"
algebraic manipulation,higher education,Undirected,311,,1,"#000000"
algebraic manipulation,structural sense,Undirected,312,,1,"#000000"
algebraic sense,higher education,Undirected,317,,1,"#000000"
algebraic sense,structural sense,Undirected,318,,1,"#000000"
algebraic thinking,autistic students,Undirected,319,,1,"#000000"
algebraic thinking,digital formative assessment,Undirected,320,,1,"#000000"
algebraic thinking,early algebra,Undirected,321,,1,"#000000"
algebraic thinking,function aspects,Undirected,322,,1,"#000000"
algebraic thinking,functional thinking,Undirected,323,,1,"#000000"
algebraic thinking,functions,Undirected,324,,1,"#000000"
algebraic thinking,generalisations,Undirected,325,,1,"#000000"
algebraic thinking,inductive reasoning; deductive reasoning; variables,Undirected,326,,1,"#000000"
algebraic thinking,noticing,Undirected,327,,1,"#000000"
algebraic thinking,number series,Undirected,328,,1,"#000000"
algebraic thinking,pattern,Undirected,329,,1,"#000000"
algebraic thinking,patterns and structures,Undirected,330,,1,"#000000"
algebraic thinking,pre-service mathematics teachers,Undirected,331,,1,"#000000"
algebraic thinking,primary school,Undirected,332,,1,"#000000"
algebraic thinking,professional development,Undirected,333,,1,"#000000"
algebraic thinking,properties and relations,Undirected,334,,1,"#000000"
algebraic thinking,relationship,Undirected,335,,1,"#000000"
algebraic thinking,repeating patterns,Undirected,336,,1,"#000000"
algebraic thinking,representation-based proofs,Undirected,337,,1,"#000000"
algebraic thinking,seeds of algebraic thinking,Undirected,338,,1,"#000000"
algebraic thinking,understanding regularity,Undirected,339,,1,"#000000"
algebraic thinking,video clubs,Undirected,340,,1,"#000000"
algorithmic bias,kom-framework,Undirected,341,,1,"#000000"
algorithmic bias,mathematical models,Undirected,342,,1,"#000000"
algorithmic bias,stem education,Undirected,343,,1,"#000000"
algorithmic literacy,critical thinking,Undirected,344,,1,"#000000"
algorithmic literacy,learning processes,Undirected,345,,1,"#000000"
algorithmic literacy,reflection,Undirected,346,,1,"#000000"
algorithmic literacy,teacher education,Undirected,347,,1,"#000000"
algorithmic thinking,interdisciplinarity,Undirected,348,,1,"#000000"
algorithmic thinking,modular arithmetic,Undirected,349,,1,"#000000"
alternative proofs,boundary encounters,Undirected,350,,1,"#000000"
alternative proofs,mathematicians,Undirected,351,,1,"#000000"
alternative proofs,secondary teacher education,Undirected,352,,1,"#000000"
ambitious mathematics teaching,professional development,Undirected,353,,1,"#000000"
ambitious mathematics teaching,talk moves,Undirected,354,,1,"#000000"
ambitious mathematics teaching,teaching moves,Undirected,355,,1,"#000000"
analogical models,graphs,Undirected,360,,1,"#000000"
analogical models,mental image,Undirected,361,,1,"#000000"
analogical models,solution,Undirected,362,,1,"#000000"
analogical models,system of equations,Undirected,363,,1,"#000000"
analysis,continuity,Undirected,364,,1,"#000000"
analysis,didactic transposition,Undirected,365,,1,"#000000"
analysis,goals-actions model,Undirected,366,,1,"#000000"
analysis,mathematical worldviews,Undirected,367,,1,"#000000"
analysis,structuralist praxeologies,Undirected,368,,1,"#000000"
analysis,teaching approach,Undirected,369,,1,"#000000"
analysis,the derivative concept,Undirected,370,,1,"#000000"
analysis,topology,Undirected,371,,1,"#000000"
analysis of teaching,lesson planning,Undirected,374,,1,"#000000"
analysis of teaching,mathematics education,Undirected,375,,1,"#000000"
analysis of teaching,teacher noticing,Undirected,376,,1,"#000000"
analytical thinking,mathematics teaching,Undirected,377,,1,"#000000"
analytical thinking,polya’s method,Undirected,378,,1,"#000000"
analytical thinking,reflection as a learning method,Undirected,379,,1,"#000000"
analytical thinking,systematic problem solving,Undirected,380,,1,"#000000"
analytical tool,methodology,Undirected,381,,1,"#000000"
analytical tool,praxeology,Undirected,382,,1,"#000000"
analytical tool,rem,Undirected,383,,1,"#000000"
animation,geogebra,Undirected,393,,1,"#000000"
animation,straight-line helicoids,Undirected,394,,1,"#000000"
animation,visuospatial abilities,Undirected,395,,1,"#000000"
anthropological theory of didactic,didactic transposition,Undirected,396,,1,"#000000"
anthropological theory of didactic,mathematics for engineers,Undirected,397,,1,"#000000"
anthropological theory of didactic,numerical integration,Undirected,398,,1,"#000000"
anthropological theory of the didactic,biographical-narrative interviews,Undirected,399,,1,"#000000"
anthropological theory of the didactic,combinatorics,Undirected,400,,1,"#000000"
anthropological theory of the didactic,covariation,Undirected,401,,1,"#000000"
anthropological theory of the didactic,dialectics,Undirected,402,,1,"#000000"
anthropological theory of the didactic,dialectics and systems and models,Undirected,403,,1,"#000000"
anthropological theory of the didactic,didactic engineering,Undirected,404,,1,"#000000"
anthropological theory of the didactic,enculturation,Undirected,405,,1,"#000000"
anthropological theory of the didactic,fundamental didactics,Undirected,406,,1,"#000000"
anthropological theory of the didactic,inquiry-based learning,Undirected,407,,1,"#000000"
anthropological theory of the didactic,investigative questions,Undirected,408,,1,"#000000"
anthropological theory of the didactic,lesson observation,Undirected,409,,1,"#000000"
anthropological theory of the didactic,lesson study,Undirected,410,,1,"#000000"
anthropological theory of the didactic,networking of theories,Undirected,411,,1,"#000000"
anthropological theory of the didactic,praxeological equipment,Undirected,412,,1,"#000000"
anthropological theory of the didactic,praxeological reference model,Undirected,413,,1,"#000000"
anthropological theory of the didactic,reference materials,Undirected,414,,1,"#000000"
anthropological theory of the didactic,study and research path,Undirected,415,,1,"#000000"
anthropological theory of the didactic,theory of didactical situations,Undirected,416,,1,"#000000"
anthropological theory of the didactic,theory of transformative education,Undirected,417,,1,"#000000"
anthropological theory of the didactic (atd),combinatorics,Undirected,418,,1,"#000000"
anthropological theory of the didactic (atd),inquiry-based learning,Undirected,419,,1,"#000000"
anthropological theory of the didactic (atd),klein’s second discontinuity,Undirected,420,,1,"#000000"
anthropological theory of the didactic (atd),mathematics teacher practice,Undirected,421,,1,"#000000"
anthropological theory of the didactic (atd),secondary schools,Undirected,422,,1,"#000000"
anthropological theory of the didactic (atd),textbook analysis,Undirected,423,,1,"#000000"
anthropological theory of the didactic (atd),university mathematics for prospective teachers,Undirected,424,,1,"#000000"
anthropological theory of the didactics,discontinuity,Undirected,425,,1,"#000000"
anthropological theory of the didactics,discourses,Undirected,426,,1,"#000000"
anthropological theory of the didactics,diversity,Undirected,427,,1,"#000000"
anthropological theory of the didactics,mathematics for other disciplines,Undirected,428,,1,"#000000"
anthropological theory of the didactics,mathematics teacher education,Undirected,429,,1,"#000000"
anthropological theory of the didactics,praxeologies.,Undirected,430,,1,"#000000"
anxiety,educational resilience,Undirected,439,,1,"#000000"
anxiety,emotional self-awareness,Undirected,440,,1,"#000000"
anxiety,examinations,Undirected,441,,1,"#000000"
anxiety,prospective mathematics teachers,Undirected,442,,1,"#000000"
anxiety,self-efficacy,Undirected,443,,1,"#000000"
apos,calculus,Undirected,444,,1,"#000000"
apos,integration,Undirected,445,,1,"#000000"
apos,multivariable functions,Undirected,446,,1,"#000000"
apos theory,calculus,Undirected,447,,1,"#000000"
apos theory,infinite series,Undirected,448,,1,"#000000"
apos theory,partial sums,Undirected,449,,1,"#000000"
apos theory,schema,Undirected,450,,1,"#000000"
application tasks,conceptual knowledge,Undirected,451,,1,"#000000"
application tasks,mathematics teachers,Undirected,452,,1,"#000000"
application tasks,mathematics teacher’s specialised knowledge,Undirected,453,,1,"#000000"
application tasks,ratio,Undirected,454,,1,"#000000"
applied mathematics,problem solving,Undirected,455,,1,"#000000"
applied mathematics,pólya,Undirected,456,,1,"#000000"
applied mathematics,real-world problems,Undirected,457,,1,"#000000"
approximation of practice,mathematics teacher education,Undirected,458,,1,"#000000"
approximation of practice,online,Undirected,459,,1,"#000000"
approximation of practice,rehearsals,Undirected,460,,1,"#000000"
approximation of practice,role-playing,Undirected,461,,1,"#000000"
ar,block-based programming,Undirected,462,,1,"#000000"
ar,ct,Undirected,463,,1,"#000000"
ar,secondary mathematics education,Undirected,464,,1,"#000000"
area,computational thinking,Undirected,465,,1,"#000000"
area,diagrams,Undirected,466,,1,"#000000"
area,mathematical problem solving,Undirected,467,,1,"#000000"
area,quadratic,Undirected,468,,1,"#000000"
area,scratch,Undirected,469,,1,"#000000"
area,simulation,Undirected,470,,1,"#000000"
argumentation,artificial intelligence,Undirected,473,,1,"#000000"
argumentation,comparative study,Undirected,474,,1,"#000000"
argumentation,concept formation,Undirected,475,,1,"#000000"
argumentation,continuous fractions,Undirected,476,,1,"#000000"
argumentation,debate,Undirected,477,,1,"#000000"
argumentation,density of q in r,Undirected,478,,1,"#000000"
argumentation,differential equations,Undirected,479,,1,"#000000"
argumentation,discourse analysis,Undirected,480,,1,"#000000"
argumentation,discussion,Undirected,481,,1,"#000000"
argumentation,empirical proof scheme,Undirected,482,,1,"#000000"
argumentation,explanatory function,Undirected,483,,1,"#000000"
argumentation,functions,Undirected,484,,1,"#000000"
argumentation,habermas’ rationality,Undirected,485,,1,"#000000"
argumentation,justification,Undirected,486,,1,"#000000"
argumentation,lakatos,Undirected,487,,1,"#000000"
argumentation,mathematical proof,Undirected,488,,1,"#000000"
argumentation,mathematics classrooms,Undirected,489,,1,"#000000"
argumentation,mediation,Undirected,490,,1,"#000000"
argumentation,paper-folding,Undirected,491,,1,"#000000"
argumentation,perception of shapes,Undirected,492,,1,"#000000"
argumentation,probability,Undirected,493,,1,"#000000"
argumentation,proof,Undirected,494,,1,"#000000"
argumentation,reasoning,Undirected,495,,1,"#000000"
argumentation,recipes,Undirected,496,,1,"#000000"
argumentation,spontaneous conceptions,Undirected,497,,1,"#000000"
argumentation,statistical reasoning,Undirected,498,,1,"#000000"
argumentation,toulmin’s model,Undirected,499,,1,"#000000"
argumentation,upper secondary school,Undirected,500,,1,"#000000"
argumentation,warrant,Undirected,501,,1,"#000000"
argumentations,necessary object-level narratives,Undirected,502,,1,"#000000"
argumentations,primary and middle school,Undirected,503,,1,"#000000"
argumentations,probability,Undirected,504,,1,"#000000"
argumentations,problem solving,Undirected,505,,1,"#000000"
argumentative dialogue,dialogic teaching,Undirected,506,,1,"#000000"
argumentative dialogue,mathematics education,Undirected,507,,1,"#000000"
argumentative dialogue,professional development,Undirected,508,,1,"#000000"
argumentative dialogue,task design,Undirected,509,,1,"#000000"
arithmetic,mathematics education,Undirected,510,,1,"#000000"
arithmetic,structure sense,Undirected,511,,1,"#000000"
arithmetic mean,conceptual focus,Undirected,512,,1,"#000000"
arithmetic mean,conversions,Undirected,513,,1,"#000000"
arithmetic mean,representations,Undirected,514,,1,"#000000"
arithmetic structure,quantitative reasoning,Undirected,515,,1,"#000000"
arithmetic structure,word problem,Undirected,516,,1,"#000000"
arithmetics,assessment,Undirected,520,,1,"#000000"
arithmetics,early mathematics education,Undirected,521,,1,"#000000"
arithmetics,word problems,Undirected,522,,1,"#000000"
arrangement,combinatorics,Undirected,523,,1,"#000000"
arrangement,conceptual understanding,Undirected,524,,1,"#000000"
arrangement,counting problems,Undirected,525,,1,"#000000"
arrangement,word problems,Undirected,526,,1,"#000000"
artefacts,numbers,Undirected,527,,1,"#000000"
artefacts,preschool,Undirected,528,,1,"#000000"
artefacts,teaching actions,Undirected,529,,1,"#000000"
artefacts,variation theory,Undirected,530,,1,"#000000"
artifact,fractions,Undirected,531,,1,"#000000"
artifact,instrument,Undirected,532,,1,"#000000"
artifact,visual representation,Undirected,533,,1,"#000000"
artificial intelligence,chatbots,Undirected,534,,1,"#000000"
artificial intelligence,debate,Undirected,535,,1,"#000000"
artificial intelligence,digital escape game,Undirected,536,,1,"#000000"
artificial intelligence,discussion,Undirected,537,,1,"#000000"
artificial intelligence,explaining,Undirected,538,,1,"#000000"
artificial intelligence,fermi problem,Undirected,539,,1,"#000000"
artificial intelligence,fermi problems,Undirected,540,,1,"#000000"
artificial intelligence,mediation,Undirected,541,,1,"#000000"
artificial intelligence,modelling,Undirected,542,,1,"#000000"
artificial intelligence,multimodality,Undirected,543,,1,"#000000"
artificial intelligence,pre-service teachers,Undirected,544,,1,"#000000"
artificial intelligence,problem posing,Undirected,545,,1,"#000000"
artificial intelligence,problem solving,Undirected,546,,1,"#000000"
artificial intelligence,prompts,Undirected,547,,1,"#000000"
artificial intelligence,semiotic system,Undirected,548,,1,"#000000"
artificial intelligence literacy,five big ideas in ai,Undirected,549,,1,"#000000"
artificial intelligence literacy,human-centered design,Undirected,550,,1,"#000000"
artificial intelligence literacy,instructional strategies,Undirected,551,,1,"#000000"
artificial intelligence literacy,integration methods,Undirected,552,,1,"#000000"
artificial intelligence literacy,mathematics education,Undirected,553,,1,"#000000"
