"Source","Target","Weight"
"3d design and printing","mathematical modelling",1
"3d design and printing","opportunities to learn",1
"3d printed manipulatives","geometry of solid figures",1
"3d printed manipulatives","projections",1
"3d printing","curvature",1
"3d printing","intrinsic geometry",1
"3d printing","programming",1
"3d virtual models","animation",1
"3d virtual models","geogebra",1
"3d virtual models","straight-line helicoids",1
"3d virtual models","visuospatial abilities",1
"3d-printing","3dmp",1
"3d-printing","debugging",1
"3d-printing","design-based research",1
"3d-printing","dynamic manipulation",1
"3d-printing","interview",1
"3d-printing","manipulatives",1
"3d-printing","tpack",1
"3d-techno-pedagogical integration matrix","mathematical quality of instruction",1
"3d-techno-pedagogical integration matrix","pre-service mathematics teachers",1
"3d-techno-pedagogical integration matrix","samr model",1
"3d-techno-pedagogical integration matrix","tpack",1
"3dmp","interview",1
"3dmp","manipulatives",1
"3dmp","tpack",1
"6th grade students","mathematics education",1
"6th grade students","programmable robots",1
"6th grade students","programming",1
"absolute value","conceptualization",1
"absolute value","percentage",1
"absolute value","relative value",1
"abstraction","ar",1
"abstraction","block-based programming",1
"abstraction","computational thinking",1
"abstraction","concretion",1
"abstraction","craft",1
"abstraction","ct",1
"abstraction","embodied cognition",1
"abstraction","experience",1
"abstraction","field of promoted actions",1
"abstraction","geometry",1
"abstraction","making",1
"abstraction","mathematical thinking",1
"abstraction","scratch",1
"abstraction","secondary mathematics education",1
"academic motivation","collaborative problem solving",1
"academic motivation","goal structures",1
"academic motivation","lower secondary school",1
"academic motivation","mathematics-related affect",1
"accumulation","antiderivative",1
"accumulation","compartmentalization",1
"accumulation","extra-mathematical context",1
"accumulation","meaning",1
"achievement test","covid-19 pandemic",1
"achievement test","mathematics achievement",1
"achievement test","pre-course mathematics",1
"achievement test","secondary school mathematics",1
"action research","adult learning",1
"action research","change agents",1
"action research","disadvantaged communities",1
"action research","mathematics teacher educator",1
"action research","professional development",1
"action research","re-engagement",1
"active learning","commognition",1
"active learning","communities of practice",1
"active learning","inter-community partnerships",1
"activity theory","inquiry-based learning",1
"activity theory","manifestations of contradictions",1
"activity theory","pre-service teachers",1
"activity theory","problem posing",1
"actual and designated identity","mathematics",1
"actual and designated identity","preservice teachers",1
"actual and designated identity","programming",1
"adam ries","history of mathematics education",1
"adam ries","numeracy",1
"adam ries","textbook research",1
"adaptation","early mathematics",1
"adaptation","preschool",1
"adaptive expertise","equations",1
"adaptive expertise","eye-tracking",1
"adaptive expertise","idiosyncratic structures",1
"adaptive expertise","solving strategies",1
"adaptive teaching","diagnostic judgment",1
"adaptive teaching","early arithmetic education",1
"adaptive teaching","teacher education",1
"adaptive teaching","vignettes",1
"adaptivity","asynchronous online pd",1
"adaptivity","collaboration",1
"adaptivity","representations of practice",1
"adaptivity","teacher learning",1
"addition","counting",1
"addition","microgenetic",1
"addition","subitising",1
"addition","variability",1
"addition and subtraction problems","elementary arithmetic",1
"addition and subtraction problems","flexibility in mental calculation",1
"addition and subtraction problems","number patterns",1
"addition and subtraction problems","problem characteristics",1
"additional educational needs","bilingualism",1
"additional educational needs","clil",1
"additional educational needs","summative mathematics assessments",1
"additive problems","decision level",1
"additive problems","decision-making",1
"additive problems","preservice teachers",1
"additive problems","semantic structure",1
"additive word problems","quantitative relation",1
"additive word problems","quantity",1
"additive word problems","spatial visualization",1
"additive word problems","visuospatial working memory",1
"adult basic education","adults learning mathematics",1
"adult basic education","numeracy",1
"adult education","empowerment",1
"adult education","experiential learning",1
"adult education","gender differences",1
"adult education","inclusion",1
"adult education","informal mathematics education",1
"adult education","prison context",1
"adult education","problem solving",1
"adult learning","disadvantaged communities",1
"adult learning","re-engagement",1
"adult skills","assessment",1
"adult skills","numeracy",1
"adult skills","piaac",1
"adult skills","second cycle",1
"adults","anxiety",1
"adults","common european numeracy framework",1
"adults","examinations",1
"adults","instruments",1
"adults","numeracy",1
"adults","self-efficacy",1
"adults learning mathematics","numeracy",1
"aesthetic","ecological",1
"aesthetic","embodiment",1
"aesthetic","geological",1
"aesthetic","materiality",1
"aesthetic","political",1
"aesthetics","covariational reasoning",1
"aesthetics","educational technology",1
"aesthetics","music",1
"aesthetics","periodic functions",1
"affect","beliefs",1
"affect","beyond failure-and-success",1
"affect","bodies",1
"affect","cognition",1
"affect","concepts",1
"affect","creating together",1
"affect","early mathematics education",1
"affect","emotions",1
"affect","graphing",1
"affect","identification",1
"affect","preservice primary teachers",1
"affect","proof",1
"affect","proof construction",1
"affect","relations in affective variables",1
"affect","sad affects",1
"affect","secondary mathematics",1
"affect","survey",1
"affect","teacher education",1
"affective system","algebra",1
"affective system","high school",1
"affective system","proof awareness",1
"ai","attention",1
"ai","epistemic logic",1
"ai","interaction",1
"ai","narrative analysis",1
"ai","preservice teachers",1
"ai","qualitative analysis",1
"ai","secondary-tertiary transition",1
"ai education","machine learning",1
"ai education","mathematics education",1
"ai education","support vector machine",1
"aims of modelling","general education",1
"aims of modelling","mathematical modelling",1
"aims of modelling","problem situations",1
"al-khwarizmi","algebra",1
"al-khwarizmi","area",1
"al-khwarizmi","diagrams",1
"al-khwarizmi","quadratic",1
"algebra","analytical tool",1
"algebra","area",1
"algebra","bi-institutional lesson study",1
"algebra","conceptual understanding",1
"algebra","diagrams",1
"algebra","equations",1
"algebra","equity",1
"algebra","formative assessment",1
"algebra","high school",1
"algebra","institutional transition problem",1
"algebra","language as a resource",1
"algebra","latent transition analysis",1
"algebra","learning",1
"algebra","learning trajectories",1
"algebra","lesson study",1
"algebra","linear equations",1
"algebra","mathematics education",1
"algebra","methodology",1
"algebra","online formative assessment",1
"algebra","praxeology",1
"algebra","proof awareness",1
"algebra","quadratic",1
"algebra","rem",1
"algebra","sign language",1
"algebra","sorting task",1
"algebra","stem majors",1
"algebra","structure sense",1
"algebra","task design",1
"algebra","tertiary students",1
"algebra education","computer science",1
"algebra education","lambda calculus",1
"algebra education","reification",1
"algebra education","type theory",1
"algebraic discourse","commognition",1
"algebraic discourse","digital learning environments",1
"algebraic discourse","equations",1
"algebraic errors","algebraic manipulation",1
"algebraic errors","algebraic sense",1
"algebraic errors","higher education",1
"algebraic errors","structural sense",1
"algebraic manipulation","algebraic sense",1
"algebraic manipulation","higher education",1
"algebraic manipulation","structural sense",1
"algebraic reasoning","dialectic contradictions",1
"algebraic reasoning","introductory algebra",1
"algebraic reasoning","space of joint action",1
"algebraic reasoning","togethering",1
"algebraic sense","higher education",1
"algebraic sense","structural sense",1
"algebraic thinking","autistic students",1
"algebraic thinking","digital formative assessment",1
"algebraic thinking","early algebra",1
"algebraic thinking","function aspects",1
"algebraic thinking","functional thinking",1
"algebraic thinking","functions",1
"algebraic thinking","generalisations",1
"algebraic thinking","inductive reasoning; deductive reasoning; variables",1
"algebraic thinking","noticing",1
"algebraic thinking","number series",1
"algebraic thinking","pattern",1
"algebraic thinking","patterns and structures",1
"algebraic thinking","pre-service mathematics teachers",1
"algebraic thinking","primary school",1
"algebraic thinking","professional development",1
"algebraic thinking","properties and relations",1
"algebraic thinking","relationship",1
"algebraic thinking","repeating patterns",1
"algebraic thinking","representation-based proofs",1
"algebraic thinking","seeds of algebraic thinking",1
"algebraic thinking","understanding regularity",1
"algebraic thinking","video clubs",1
"algorithmic bias","kom-framework",1
"algorithmic bias","mathematical models",1
"algorithmic bias","stem education",1
"algorithmic literacy","critical thinking",1
"algorithmic literacy","learning processes",1
"algorithmic literacy","reflection",1
"algorithmic literacy","teacher education",1
"algorithmic thinking","interdisciplinarity",1
"algorithmic thinking","modular arithmetic",1
"alternative proofs","boundary encounters",1
"alternative proofs","mathematicians",1
"alternative proofs","secondary teacher education",1
"ambitious mathematics teaching","professional development",1
"ambitious mathematics teaching","talk moves",1
"ambitious mathematics teaching","teaching moves",1
"ambitious teaching","coherent system",1
"ambitious teaching","cooperative teaching",1
"ambitious teaching","high-quality teaching",1
"ambitious teaching","systematic literature review",1
"analogical models","graphs",1
"analogical models","mental image",1
"analogical models","solution",1
"analogical models","system of equations",1
"analysis","continuity",1
"analysis","didactic transposition",1
"analysis","goals-actions model",1
"analysis","mathematical worldviews",1
"analysis","structuralist praxeologies",1
"analysis","teaching approach",1
"analysis","the derivative concept",1
"analysis","topology",1
"analysis of curriculum","conceptual fields",1
"analysis of curriculum","integrated topics",1
"analysis of teaching","lesson planning",1
"analysis of teaching","mathematics education",1
"analysis of teaching","teacher noticing",1
"analytical thinking","mathematics teaching",1
"analytical thinking","polya’s method",1
"analytical thinking","reflection as a learning method",1
"analytical thinking","systematic problem solving",1
"analytical tool","methodology",1
"analytical tool","praxeology",1
"analytical tool","rem",1
"angle","angle measurement",1
"angle","gps",1
"angle","protractor",1
"angle","spatial navigation",1
"angle","textual programming",1
"angle measurement","gps",1
"angle measurement","protractor",1
"angle measurement","spatial navigation",1
"angle measurement","textual programming",1
"animation","geogebra",1
"animation","straight-line helicoids",1
"animation","visuospatial abilities",1
"anthropological theory of didactic","didactic transposition",1
"anthropological theory of didactic","mathematics for engineers",1
"anthropological theory of didactic","numerical integration",1
"anthropological theory of the didactic","biographical-narrative interviews",1
"anthropological theory of the didactic","combinatorics",1
"anthropological theory of the didactic","covariation",1
"anthropological theory of the didactic","dialectics",1
"anthropological theory of the didactic","dialectics and systems and models",1
"anthropological theory of the didactic","didactic engineering",1
"anthropological theory of the didactic","enculturation",1
"anthropological theory of the didactic","fundamental didactics",1
"anthropological theory of the didactic","inquiry-based learning",1
"anthropological theory of the didactic","investigative questions",1
"anthropological theory of the didactic","lesson observation",1
"anthropological theory of the didactic","lesson study",1
"anthropological theory of the didactic","networking of theories",1
"anthropological theory of the didactic","praxeological equipment",1
"anthropological theory of the didactic","praxeological reference model",1
"anthropological theory of the didactic","reference materials",1
"anthropological theory of the didactic","study and research path",1
"anthropological theory of the didactic","theory of didactical situations",1
"anthropological theory of the didactic","theory of transformative education",1
"anthropological theory of the didactic (atd)","combinatorics",1
"anthropological theory of the didactic (atd)","inquiry-based learning",1
"anthropological theory of the didactic (atd)","klein’s second discontinuity",1
"anthropological theory of the didactic (atd)","mathematics teacher practice",1
"anthropological theory of the didactic (atd)","secondary schools",1
"anthropological theory of the didactic (atd)","textbook analysis",1
"anthropological theory of the didactic (atd)","university mathematics for prospective teachers",1
"anthropological theory of the didactics","discontinuity",1
"anthropological theory of the didactics","discourses",1
"anthropological theory of the didactics","diversity",1
"anthropological theory of the didactics","mathematics for other disciplines",1
"anthropological theory of the didactics","mathematics teacher education",1
"anthropological theory of the didactics","praxeologies.",1
"anthropological theory of the didactics (atd)","college mathematics",1
"anthropological theory of the didactics (atd)","differential calculus",1
"anthropological theory of the didactics (atd)","mechanics",1
"anthropological theory of the didactics (atd)","mixed praxeologies",1
"anthropological theory of the didactics (atd)","paired courses",1
"antiderivative","compartmentalization",1
"antiderivative","integral",1
"antiderivative","meaning",1
"anxiety","educational resilience",1
"anxiety","emotional self-awareness",1
"anxiety","examinations",1
"anxiety","prospective mathematics teachers",1
"anxiety","self-efficacy",1
"apos","calculus",1
"apos","integration",1
"apos","multivariable functions",1
"apos theory","calculus",1
"apos theory","infinite series",1
"apos theory","partial sums",1
"apos theory","schema",1
"application tasks","conceptual knowledge",1
"application tasks","mathematics teachers",1
"application tasks","mathematics teacher’s specialised knowledge",1
"application tasks","ratio",1
"applied mathematics","problem solving",1
"applied mathematics","pólya",1
"applied mathematics","real-world problems",1
"approximation of practice","mathematics teacher education",1
"approximation of practice","online",1
"approximation of practice","rehearsals",1
"approximation of practice","role-playing",1
"ar","block-based programming",1
"ar","ct",1
"ar","secondary mathematics education",1
"area","computational thinking",1
"area","diagrams",1
"area","mathematical problem solving",1
"area","quadratic",1
"area","scratch",1
"area","simulation",1
"area of the disc","cognitive apprehension",1
"area of the disc","geometry teaching sequence",1
"argumentation","artificial intelligence",1
"argumentation","comparative study",1
"argumentation","concept formation",1
"argumentation","continuous fractions",1
"argumentation","debate",1
"argumentation","density of q in r",1
"argumentation","differential equations",1
"argumentation","discourse analysis",1
"argumentation","discussion",1
"argumentation","empirical proof scheme",1
"argumentation","explanatory function",1
"argumentation","functions",1
"argumentation","habermas’ rationality",1
"argumentation","justification",1
"argumentation","lakatos",1
"argumentation","mathematical proof",1
"argumentation","mathematics classrooms",1
"argumentation","mediation",1
"argumentation","paper-folding",1
"argumentation","perception of shapes",1
"argumentation","probability",1
"argumentation","proof",1
"argumentation","reasoning",1
"argumentation","recipes",1
"argumentation","spontaneous conceptions",1
"argumentation","statistical reasoning",1
"argumentation","toulmin’s model",1
"argumentation","upper secondary school",1
"argumentation","warrant",1
"argumentations","necessary object-level narratives",1
"argumentations","primary and middle school",1
"argumentations","probability",1
"argumentations","problem solving",1
"argumentative dialogue","dialogic teaching",1
"argumentative dialogue","mathematics education",1
"argumentative dialogue","professional development",1
"argumentative dialogue","task design",1
"arithmetic","mathematics education",1
"arithmetic","structure sense",1
"arithmetic mean","conceptual focus",1
"arithmetic mean","conversions",1
"arithmetic mean","representations",1
"arithmetic structure","quantitative reasoning",1
"arithmetic structure","word problem",1
"arithmetic support","first grade",1
"arithmetic support","mathematical creativity",1
"arithmetic support","social support",1
"arithmetics","assessment",1
"arithmetics","early mathematics education",1
"arithmetics","word problems",1
"arrangement","combinatorics",1
"arrangement","conceptual understanding",1
"arrangement","counting problems",1
"arrangement","word problems",1
"artefacts","numbers",1
"artefacts","preschool",1
"artefacts","teaching actions",1
"artefacts","variation theory",1
"artifact","fractions",1
"artifact","instrument",1
"artifact","visual representation",1
"artificial intelligence","chatbots",1
"artificial intelligence","debate",1
"artificial intelligence","digital escape game",1
"artificial intelligence","discussion",1
"artificial intelligence","explaining",1
"artificial intelligence","fermi problem",1
"artificial intelligence","fermi problems",1
"artificial intelligence","mediation",1
"artificial intelligence","modelling",1
"artificial intelligence","multimodality",1
"artificial intelligence","pre-service teachers",1
"artificial intelligence","problem posing",1
"artificial intelligence","problem solving",1
"artificial intelligence","prompts",1
"artificial intelligence","semiotic system",1
"artificial intelligence literacy","five big ideas in ai",1
"artificial intelligence literacy","human-centered design",1
"artificial intelligence literacy","instructional strategies",1
"artificial intelligence literacy","integration methods",1
"artificial intelligence literacy","mathematics education",1
"assessment","digital tools",1
"assessment","early mathematics education",1
"assessment","embodied design",1
"assessment","interview study",1
"assessment","istem",1
"assessment","mathematical folding",1
"assessment","mathematical modelling",1
"assessment","mathematics",1
"assessment","modelling",1
"assessment","numeracy",1
"assessment","piaac",1
"assessment","portfolio",1
"assessment","praxeology",1
"assessment","prison context",1
"assessment","school algebra",1
"assessment","second cycle",1
"assessment","secondary school",1
"assessment","standardised sssessment",1
"assessment","students’ learning",1
"assessment","teacher learning",1
"assessment","teacher perspective",1
"assessment","teacher practice",1
"assessment","teachers beliefs",1
"assessment","teachers knowledge",1
"assessment","two-dimensional curriculum",1
"assessment","word problems",1
"assessment scoring approach","marking scheme",1
"assessment scoring approach","mathematical literacy",1
"assessment scoring approach","rasch analysis",1
"asymptotes","computer-aided assessment",1
"asymptotes","example-generation tasks",1
"asymptotes","graphical assessment",1
"asymptotes","mathematics education",1
"asynchronous online pd","collaboration",1
"asynchronous online pd","representations of practice",1
"asynchronous online pd","teacher learning",1
"asynchrony","digital mathematical discussion",1
"asynchrony","written communication",1
"atd","ecology",1
"atd","mathematics lecturers",1
"atd","task design",1
"attention","epistemic logic",1
"attention","interaction",1
"attention","preservice teachers",1
"attitudes","chat gpt",1
"attitudes","llm",1
"attitudes","numerical methods",1
"attitudes","university mathematics education",1
"attitudes towards statistics","growth mindset",1
"attitudes towards statistics","statistics education",1
"attitudes towards statistics","teacher education",1
"attribute and measurement","collaborative research",1
"attribute and measurement","concept of mass",1
"attribute and measurement","elementary school",1
"attribute and measurement","teachers’ professional development",1
"attribution theory","feedback",1
"attribution theory","mathematics achievement",1
"attribution theory","self-efficacy",1
"augmented reality","elementary school mathematics",1
"augmented reality","embodied cognition",1
"augmented reality","mathematics education",1
"augmented reality","place value",1
"augmented reality","representations",1
"augmented reality artificial intelligence","mixed reality",1
"augmented reality artificial intelligence","virtual reality",1
"authentic aspects","communities of practice",1
"authentic aspects","mathematics tasks",1
"authentic aspects","students’ identity",1
"authentic aspects","vocational education",1
"autism spectrum disorder","generalisation",1
"autism spectrum disorder","inclusion",1
"autism spectrum disorder","problem-solving",1
"autism spectrum disorder","teachers’ knowledge",1
"autistic students","early algebra",1
"autistic students","repeating patterns",1
"automated feedback","digital textbooks",1
"automated feedback","mathematics education",1
"automated feedback","use of resources",1
"autopoiesis","biology of cognition",1
"autopoiesis","experimental epistemology",1
"autopoiesis","mathematics education",1
"autopoiesis","structural coupling",1
"backwash effect","basic competences",1
"backwash effect","mathematics",1
"backwash effect","solutions",1
"backwash effect","statewide exit exams",1
"basic arithmetic skills","learning support",1
"basic arithmetic skills","practices",1
"basic arithmetic skills","prospective teachers",1
"basic competences","mathematics",1
"basic competences","solutions",1
"basic competences","statewide exit exams",1
"basic facts of multiplication","division",1
"basic facts of multiplication","elementary school mathematics",1
"basic facts of multiplication","multiplication",1
"basic ideas","conceptions",1
"basic ideas","conversion of units of measurement",1
"basic ideas","representations",1
"basic ideas","units of length and mass",1
"basic mental model","concept image",1
"basic mental model","conceptual knowledge",1
"basic mental model","derivative",1
"bayesian reasoning","risk literacy",1
"bayesian reasoning","simulations",1
"becoming a teacher","self-perception",1
"becoming a teacher","teacher knowledge",1
"becoming a teacher","teaching experience",1
"beliefs","beliefs change",1
"beliefs","cognition",1
"beliefs","emotions",1
"beliefs","expectancy-value theory",1
"beliefs","inclusive education",1
"beliefs","mathematical world views",1
"beliefs","middle school",1
"beliefs","motivation",1
"beliefs","personal epistemology",1
"beliefs","proof",1
"beliefs","proof construction",1
"beliefs","roles",1
"beliefs","secondary mathematics",1
"beliefs","secondary-tertiary transition",1
"beliefs","special educational",1
"beliefs","subjective relevance of mathematics education",1
"beliefs","survey",1
"beliefs","teachers'-knowledge",1
"beliefs","values",1
"beliefs","word problems",1
"beliefs change","mathematical world views",1
"beliefs change","teacher education",1
"benchmarks","estimation",1
"benchmarks","fermi problems",1
"beyond failure-and-success","bodies",1
"beyond failure-and-success","concepts",1
"beyond failure-and-success","creating together",1
"beyond failure-and-success","early mathematics education",1
"beyond failure-and-success","sad affects",1
"beyond failure-and-success","teacher education",1
"bi-institutional lesson study","institutional transition problem",1
"bi-institutional lesson study","lesson study",1
"big data","informal statistical modeling",1
"big data","predictive modeling",1
"bilingual education","english (second language)",1
"bilingual education","mathematical concepts",1
"bilingualism","clil",1
"bilingualism","croatian",1
"bilingualism","language",1
"bilingualism","multilingualism",1
"bilingualism","primary education",1
"bilingualism","summative mathematics assessments",1
"bimanual movements","covariational thinking",1
"bimanual movements","digital-embodied tasks",1
"bimanual movements","mathematics education",1
"bimanual movements","nomogram",1
"biographical-narrative interviews","enculturation",1
"biographical-narrative interviews","networking of theories",1
"biographical-narrative interviews","theory of transformative education",1
"biology of cognition","experimental epistemology",1
"biology of cognition","mathematics education",1
"biology of cognition","structural coupling",1
"blindfolded mathematics","embodied cognition",1
"blindfolded mathematics","embodied learning",1
"blindfolded mathematics","learning definition",1
"block models","solving steps",1
"block models","teachers",1
"block models","visual representation",1
"block models","word problems",1
"block play","crystallography",1
"block play","geometric concepts",1
"block play","mathematical language",1
"block play","pedagogy",1
"block play","symmetry-breaking",1
"block-based programming","ct",1
"block-based programming","secondary mathematics education",1
"bodies","concepts",1
"bodies","creating together",1
"bodies","early mathematics education",1
"bodies","sad affects",1
"bodies","teacher education",1
"body","diagrams",1
"body","material",1
"body","mathematics education",1
"body","research methods",1
"body-centred movement","elementary school mathematics",1
"body-centred movement","mathematics activities",1
"body-centred movement","modes of representation",1
"body-centred movement","object-centred movement",1
"bookcreator","generalization",1
"bookcreator","numerical pattern",1
"bookcreator","primary school",1
"bookcreator","verbalization",1
"border","category theory",1
"border","fibonacci",1
"border","mathematics",1
"border","semiosphere",1
"border","semiotic",1
"border","ste(a)m",1
"border","steam education",1
"boundary crossing","function transformations",1
"boundary crossing","graphical reasoning",1
"boundary encounters","positioning theory",1
"boundary encounters","secondary teacher education",1
"boundary object artefact","co-disciplinarity",1
"boundary object artefact","early school leaving",1
"boundary object artefact","theory of semiotic mediation",1
"boundary object artefact","vocational school",1
"boxplot","dotplot",1
"boxplot","hatplot",1
"boxplot","histodot",1
"boxplot","histogram",1
"calculus","commognitive",1
"calculus","concept formation",1
"calculus","continuity",1
"calculus","derivative",1
"calculus","differential equations",1
"calculus","discourse",1
"calculus","functions",1
"calculus","infinite series",1
"calculus","lakatos",1
"calculus","learning assistants",1
"calculus","measurement",1
"calculus","multiplication",1
"calculus","multivariable functions",1
"calculus","partial sums",1
"calculus","path-connectedness",1
"calculus","professional noticing",1
"calculus","real analysis",1
"calculus","reasoning",1
"calculus","recipes",1
"calculus","schema",1
"calculus","symbolism",1
"cardinality","mediating primary mathematics",1
"cardinality","number sense",1
"cardinality","play-responsive teaching",1
"cardinality","preschool",1
"case studies","mathematics teacher education",1
"case studies","pedagogical content knowledge",1
"case studies","teacher educators",1
"case study","learning environments",1
"case study","movement-based learning",1
"case study","place value",1
"category theory","interdisciplinarity",1
"category theory","mathematics",1
"category theory","semiosphere",1
"category theory","ste(a)m",1
"catenary and parabola","computational triangulation experimental mathematics using digital tools",1
"catenary and parabola","critical thinking",1
"catenary and parabola","mathematics teachers’ digital competences",1
"central tendency","computational thinking",1
"central tendency","mathematics",1
"central tendency","spreadsheet",1
"central tendency","statistics",1
"challenges","knowledge",1
"challenges","lesson study facilitator",1
"challenges","skills",1
"change agents","mathematics teacher educator",1
"change agents","professional development",1
"chat","design of digital artefacts",1
"chat","mathematics tpd",1
"chat gpt","llm",1
"chat gpt","numerical methods",1
"chat gpt","university mathematics education",1
"chatbots","mathematics education",1
"chatbots","problem posing",1
"chatgpt","documentational approach to didactics",1
"chatgpt","education for sustainable development",1
"chatgpt","generative ai",1
"chatgpt","geogebra",1
"chatgpt","geometry",1
"chatgpt","lesson plan",1
"chatgpt","lesson scenario",1
"chatgpt","problem-posing",1
"chatgpt","scaffolding",1
"chatgpt","stem",1
"chatgpt","task design",1
"chatgpt","teacher education",1
"chatgpt","tpack. pre-service high school mathematics teachers",1
"children","mathematics learning difficulties",1
"children","parents",1
"children","pre-school",1
"children","teachers",1
"china","geometry",1
"china","information and communication technology (ict) competencies",1
"china","mathematics teachers",1
"china","secondary school",1
"choropleth maps","conceptions",1
"choropleth maps","geo-spatial data",1
"choropleth maps","in-service teachers",1
"chunking","graphical reasoning",1
"chunking","titration experiment",1
"civil engineering","definite integral",1
"civil engineering","modelling",1
"civil engineering","teaching and learning",1
"class cohesion","cultural capital",1
"class cohesion","hybrid research design",1
"class cohesion","mathematical memes",1
"class discussion","preservice teachers",1
"class discussion","validity",1
"classical logic","epistemic-logical model",1
"classical logic","fallibilism",1
"classical logic","intuitionistic existential graphs",1
"classical logic","lakatos’ approach",1
"classification of mistakes","combinatorial model and operation",1
"classification of mistakes","combinatorics",1
"classificatory thinking","geometrical definitions",1
"classificatory thinking","mathematical discussion",1
"classificatory thinking","non economical definitions",1
"classificatory thinking","quadrilaterals",1
"classroom cartoons","noticing",1
"classroom cartoons","teacher noticing of student thinking",1
"classroom cartoons","teachers’ analysis of classroom interaction",1
"classroom cartoons","vignettes-based study",1
"classroom communication","preservice teachers",1
"classroom communication","questioning techniques",1
"classroom communication","tutoring",1
"classroom discourse","communication",1
"classroom discourse","interaction",1
"classroom discourse","interactions",1
"classroom discourse","language-responsive teaching",1
"classroom discourse","norms",1
"classroom discourse","noticing",1
"classroom discourse","positioning theory",1
"classroom discussion","collaboration",1
"classroom discussion","fermi problems",1
"classroom discussion","lesson study",1
"classroom discussion","mathematical modelling",1
"classroom discussion","primary education",1
"classroom discussion","teacher interventions",1
"classroom discussion","teaching through problemsolving",1
"classroom practice","literature review",1
"classroom practice","mathematics teachers’ professional development",1
"classroom quality","level of difficulty",1
"classroom quality","mastery experiences",1
"classroom quality","multilevel structural equation model",1
"classroom quality","teacher-student interactions",1
"classroom teaching practice","instrumental orchestration",1
"classroom teaching practice","primary mathematics",1
"classroom teaching practice","robot coding integration",1
"classroom teaching practice","technology",1
"classroom techniques","geometry",1
"classroom techniques","secondary school mathematics",1
"clean water and sanitation","hands-on",1
"clean water and sanitation","mathematics education",1
"clean water and sanitation","steam education",1
"clean water and sanitation","sustainable development goals",1
"clil","summative mathematics assessments",1
"cluster analysis","higher education mathematics",1
"cluster analysis","inequalities in education",1
"cluster analysis","mathematics capital",1
"cluster analysis","socio-political studies",1
"cluster analysis","survey methods",1
"co-disciplinarity","early school leaving",1
"co-disciplinarity","theory of semiotic mediation",1
"co-disciplinarity","vocational school",1
"co-operative action","collaboration",1
"co-operative action","geometry",1
"co-operative action","groupworthy tasks",1
"co-operative action","joint action",1
"co-variational thinking","motion graphs",1
"co-variational thinking","theory of objectification",1
"coaching","guided participation",1
"coaching","meta-coaching",1
"coaching","problems of practice",1
"coaching","professional development",1
"coaching","responsive coaching",1
"coaching","teacher learning",1
"cognition","proof",1
"cognition","proof construction",1
"cognition","secondary mathematics",1
"cognition","survey",1
"cognitive activation","digital materials",1
"cognitive activation","professional development",1
"cognitive activation","task design",1
