Source,Target,Type,Id,Label,Weight
3d virtual models,animation,Undirected,99,,1
3d virtual models,geogebra,Undirected,100,,1
3d virtual models,straight-line helicoids,Undirected,101,,1
3d virtual models,visuospatial abilities,Undirected,102,,1
3d-printing,3dmp,Undirected,103,,1
3d-printing,debugging,Undirected,104,,1
3d-printing,design-based research,Undirected,105,,1
3d-printing,dynamic manipulation,Undirected,106,,1
3d-printing,interview,Undirected,107,,1
3d-printing,manipulatives,Undirected,108,,1
3d-printing,tpack,Undirected,109,,1
3d-techno-pedagogical integration matrix,mathematical quality of instruction,Undirected,110,,1
3d-techno-pedagogical integration matrix,pre-service mathematics teachers,Undirected,111,,1
3d-techno-pedagogical integration matrix,samr model,Undirected,112,,1
3d-techno-pedagogical integration matrix,tpack,Undirected,113,,1
3dmp,interview,Undirected,114,,1
3dmp,manipulatives,Undirected,115,,1
3dmp,tpack,Undirected,116,,1
6th grade students,mathematics education,Undirected,117,,1
6th grade students,programmable robots,Undirected,118,,1
6th grade students,programming,Undirected,119,,1
abstraction,ar,Undirected,123,,1
abstraction,block-based programming,Undirected,124,,1
abstraction,computational thinking,Undirected,125,,1
abstraction,concretion,Undirected,126,,1
abstraction,craft,Undirected,127,,1
abstraction,ct,Undirected,128,,1
abstraction,embodied cognition,Undirected,129,,1
abstraction,experience,Undirected,130,,1
abstraction,field of promoted actions,Undirected,131,,1
abstraction,geometry,Undirected,132,,1
abstraction,making,Undirected,133,,1
abstraction,mathematical thinking,Undirected,134,,1
abstraction,scratch,Undirected,135,,1
abstraction,secondary mathematics education,Undirected,136,,1
academic motivation,collaborative problem solving,Undirected,137,,1
academic motivation,goal structures,Undirected,138,,1
academic motivation,lower secondary school,Undirected,139,,1
academic motivation,mathematics-related affect,Undirected,140,,1
achievement test,covid-19 pandemic,Undirected,145,,1
achievement test,mathematics achievement,Undirected,146,,1
achievement test,pre-course mathematics,Undirected,147,,1
achievement test,secondary school mathematics,Undirected,148,,1
action research,adult learning,Undirected,149,,1
action research,change agents,Undirected,150,,1
action research,disadvantaged communities,Undirected,151,,1
action research,mathematics teacher educator,Undirected,152,,1
action research,professional development,Undirected,153,,1
action research,re-engagement,Undirected,154,,1
active learning,commognition,Undirected,155,,1
active learning,communities of practice,Undirected,156,,1
active learning,inter-community partnerships,Undirected,157,,1
activity theory,inquiry-based learning,Undirected,158,,1
activity theory,manifestations of contradictions,Undirected,159,,1
activity theory,pre-service teachers,Undirected,160,,1
activity theory,problem posing,Undirected,161,,1
actual and designated identity,mathematics,Undirected,162,,1
actual and designated identity,preservice teachers,Undirected,163,,1
actual and designated identity,programming,Undirected,164,,1
adam ries,history of mathematics education,Undirected,165,,1
adam ries,numeracy,Undirected,166,,1
adam ries,textbook research,Undirected,167,,1
adaptation,early mathematics,Undirected,168,,1
adaptation,preschool,Undirected,169,,1
adaptive expertise,equations,Undirected,170,,1
adaptive expertise,eye-tracking,Undirected,171,,1
adaptive expertise,idiosyncratic structures,Undirected,172,,1
adaptive expertise,solving strategies,Undirected,173,,1
adaptive teaching,diagnostic judgment,Undirected,174,,1
adaptive teaching,early arithmetic education,Undirected,175,,1
adaptive teaching,teacher education,Undirected,176,,1
adaptive teaching,vignettes,Undirected,177,,1
adaptivity,asynchronous online pd,Undirected,178,,1
adaptivity,collaboration,Undirected,179,,1
adaptivity,representations of practice,Undirected,180,,1
adaptivity,teacher learning,Undirected,181,,1
addition,counting,Undirected,182,,1
addition,microgenetic,Undirected,183,,1
addition,subitising,Undirected,184,,1
addition,variability,Undirected,185,,1
additional educational needs,bilingualism,Undirected,190,,1
additional educational needs,clil,Undirected,191,,1
additional educational needs,summative mathematics assessments,Undirected,192,,1
additive problems,decision level,Undirected,193,,1
additive problems,decision-making,Undirected,194,,1
additive problems,preservice teachers,Undirected,195,,1
additive problems,semantic structure,Undirected,196,,1
adult basic education,adults learning mathematics,Undirected,201,,1
adult basic education,numeracy,Undirected,202,,1
adult education,empowerment,Undirected,203,,1
adult education,experiential learning,Undirected,204,,1
adult education,gender differences,Undirected,205,,1
adult education,inclusion,Undirected,206,,1
adult education,informal mathematics education,Undirected,207,,1
adult education,prison context,Undirected,208,,1
adult education,problem solving,Undirected,209,,1
adult learning,disadvantaged communities,Undirected,210,,1
adult learning,re-engagement,Undirected,211,,1
adult skills,assessment,Undirected,212,,1
adult skills,numeracy,Undirected,213,,1
adult skills,piaac,Undirected,214,,1
adult skills,second cycle,Undirected,215,,1
adults,anxiety,Undirected,216,,1
adults,common european numeracy framework,Undirected,217,,1
adults,examinations,Undirected,218,,1
adults,instruments,Undirected,219,,1
adults,numeracy,Undirected,220,,1
adults,self-efficacy,Undirected,221,,1
adults learning mathematics,numeracy,Undirected,222,,1
aesthetic,ecological,Undirected,223,,1
aesthetic,embodiment,Undirected,224,,1
aesthetic,geological,Undirected,225,,1
aesthetic,materiality,Undirected,226,,1
aesthetic,political,Undirected,227,,1
aesthetics,covariational reasoning,Undirected,228,,1
aesthetics,educational technology,Undirected,229,,1
aesthetics,music,Undirected,230,,1
aesthetics,periodic functions,Undirected,231,,1
affect,beliefs,Undirected,232,,1
affect,beyond failure-and-success,Undirected,233,,1
affect,bodies,Undirected,234,,1
affect,cognition,Undirected,235,,1
affect,concepts,Undirected,236,,1
affect,creating together,Undirected,237,,1
affect,early mathematics education,Undirected,238,,1
affect,emotions,Undirected,239,,1
affect,graphing,Undirected,240,,1
affect,identification,Undirected,241,,1
affect,preservice primary teachers,Undirected,242,,1
affect,proof,Undirected,243,,1
affect,proof construction,Undirected,244,,1
affect,relations in affective variables,Undirected,245,,1
affect,sad affects,Undirected,246,,1
affect,secondary mathematics,Undirected,247,,1
affect,survey,Undirected,248,,1
affect,teacher education,Undirected,249,,1
affective system,algebra,Undirected,250,,1
affective system,high school,Undirected,251,,1
affective system,proof awareness,Undirected,252,,1
ai,attention,Undirected,253,,1
ai,epistemic logic,Undirected,254,,1
ai,interaction,Undirected,255,,1
ai,narrative analysis,Undirected,256,,1
ai,preservice teachers,Undirected,257,,1
ai,qualitative analysis,Undirected,258,,1
ai,secondary-tertiary transition,Undirected,259,,1
ai education,machine learning,Undirected,260,,1
ai education,mathematics education,Undirected,261,,1
ai education,support vector machine,Undirected,262,,1
aims of modelling,general education,Undirected,263,,1
aims of modelling,mathematical modelling,Undirected,264,,1
aims of modelling,problem situations,Undirected,265,,1
al-khwarizmi,algebra,Undirected,266,,1
al-khwarizmi,area,Undirected,267,,1
al-khwarizmi,diagrams,Undirected,268,,1
al-khwarizmi,quadratic,Undirected,269,,1
algebra,analytical tool,Undirected,270,,1
algebra,area,Undirected,271,,1
algebra,bi-institutional lesson study,Undirected,272,,1
algebra,conceptual understanding,Undirected,273,,1
algebra,diagrams,Undirected,274,,1
algebra,equations,Undirected,275,,1
algebra,equity,Undirected,276,,1
algebra,formative assessment,Undirected,277,,1
algebra,high school,Undirected,278,,1
algebra,institutional transition problem,Undirected,279,,1
algebra,language as a resource,Undirected,280,,1
algebra,latent transition analysis,Undirected,281,,1
algebra,learning,Undirected,282,,1
algebra,learning trajectories,Undirected,283,,1
algebra,lesson study,Undirected,284,,1
algebra,linear equations,Undirected,285,,1
algebra,mathematics education,Undirected,286,,1
algebra,methodology,Undirected,287,,1
algebra,online formative assessment,Undirected,288,,1
algebra,praxeology,Undirected,289,,1
algebra,proof awareness,Undirected,290,,1
algebra,quadratic,Undirected,291,,1
algebra,rem,Undirected,292,,1
algebra,sign language,Undirected,293,,1
algebra,sorting task,Undirected,294,,1
algebra,stem majors,Undirected,295,,1
algebra,structure sense,Undirected,296,,1
algebra,task design,Undirected,297,,1
algebra,tertiary students,Undirected,298,,1
algebraic discourse,commognition,Undirected,303,,1
algebraic discourse,digital learning environments,Undirected,304,,1
algebraic discourse,equations,Undirected,305,,1
algebraic errors,algebraic manipulation,Undirected,306,,1
algebraic errors,algebraic sense,Undirected,307,,1
algebraic errors,higher education,Undirected,308,,1
algebraic errors,structural sense,Undirected,309,,1
algebraic manipulation,algebraic sense,Undirected,310,,1
algebraic manipulation,higher education,Undirected,311,,1
algebraic manipulation,structural sense,Undirected,312,,1
algebraic sense,higher education,Undirected,317,,1
algebraic sense,structural sense,Undirected,318,,1
algebraic thinking,autistic students,Undirected,319,,1
algebraic thinking,digital formative assessment,Undirected,320,,1
algebraic thinking,early algebra,Undirected,321,,1
algebraic thinking,function aspects,Undirected,322,,1
algebraic thinking,functional thinking,Undirected,323,,1
algebraic thinking,functions,Undirected,324,,1
algebraic thinking,generalisations,Undirected,325,,1
algebraic thinking,inductive reasoning; deductive reasoning; variables,Undirected,326,,1
algebraic thinking,noticing,Undirected,327,,1
algebraic thinking,number series,Undirected,328,,1
algebraic thinking,pattern,Undirected,329,,1
algebraic thinking,patterns and structures,Undirected,330,,1
algebraic thinking,pre-service mathematics teachers,Undirected,331,,1
algebraic thinking,primary school,Undirected,332,,1
algebraic thinking,professional development,Undirected,333,,1
algebraic thinking,properties and relations,Undirected,334,,1
algebraic thinking,relationship,Undirected,335,,1
algebraic thinking,repeating patterns,Undirected,336,,1
algebraic thinking,representation-based proofs,Undirected,337,,1
algebraic thinking,seeds of algebraic thinking,Undirected,338,,1
algebraic thinking,understanding regularity,Undirected,339,,1
algebraic thinking,video clubs,Undirected,340,,1
algorithmic bias,kom-framework,Undirected,341,,1
algorithmic bias,mathematical models,Undirected,342,,1
algorithmic bias,stem education,Undirected,343,,1
algorithmic literacy,critical thinking,Undirected,344,,1
algorithmic literacy,learning processes,Undirected,345,,1
algorithmic literacy,reflection,Undirected,346,,1
algorithmic literacy,teacher education,Undirected,347,,1
algorithmic thinking,interdisciplinarity,Undirected,348,,1
algorithmic thinking,modular arithmetic,Undirected,349,,1
alternative proofs,boundary encounters,Undirected,350,,1
alternative proofs,mathematicians,Undirected,351,,1
alternative proofs,secondary teacher education,Undirected,352,,1
ambitious mathematics teaching,professional development,Undirected,353,,1
ambitious mathematics teaching,talk moves,Undirected,354,,1
ambitious mathematics teaching,teaching moves,Undirected,355,,1
ambitious teaching,coherent system,Undirected,356,,1
ambitious teaching,cooperative teaching,Undirected,357,,1
ambitious teaching,high-quality teaching,Undirected,358,,1
ambitious teaching,systematic literature review,Undirected,359,,1
analogical models,graphs,Undirected,360,,1
analogical models,mental image,Undirected,361,,1
analogical models,solution,Undirected,362,,1
analogical models,system of equations,Undirected,363,,1
analysis,continuity,Undirected,364,,1
analysis,didactic transposition,Undirected,365,,1
analysis,goals-actions model,Undirected,366,,1
analysis,mathematical worldviews,Undirected,367,,1
analysis,structuralist praxeologies,Undirected,368,,1
analysis,teaching approach,Undirected,369,,1
analysis,the derivative concept,Undirected,370,,1
analysis,topology,Undirected,371,,1
analysis of teaching,lesson planning,Undirected,374,,1
analysis of teaching,mathematics education,Undirected,375,,1
analysis of teaching,teacher noticing,Undirected,376,,1
analytical thinking,mathematics teaching,Undirected,377,,1
analytical thinking,polya’s method,Undirected,378,,1
analytical thinking,reflection as a learning method,Undirected,379,,1
analytical thinking,systematic problem solving,Undirected,380,,1
analytical tool,methodology,Undirected,381,,1
analytical tool,praxeology,Undirected,382,,1
analytical tool,rem,Undirected,383,,1
animation,geogebra,Undirected,393,,1
animation,straight-line helicoids,Undirected,394,,1
animation,visuospatial abilities,Undirected,395,,1
anthropological theory of didactic,didactic transposition,Undirected,396,,1
anthropological theory of didactic,mathematics for engineers,Undirected,397,,1
anthropological theory of didactic,numerical integration,Undirected,398,,1
anthropological theory of the didactic,biographical-narrative interviews,Undirected,399,,1
anthropological theory of the didactic,combinatorics,Undirected,400,,1
anthropological theory of the didactic,covariation,Undirected,401,,1
anthropological theory of the didactic,dialectics,Undirected,402,,1
anthropological theory of the didactic,dialectics and systems and models,Undirected,403,,1
anthropological theory of the didactic,didactic engineering,Undirected,404,,1
anthropological theory of the didactic,enculturation,Undirected,405,,1
anthropological theory of the didactic,fundamental didactics,Undirected,406,,1
anthropological theory of the didactic,inquiry-based learning,Undirected,407,,1
anthropological theory of the didactic,investigative questions,Undirected,408,,1
anthropological theory of the didactic,lesson observation,Undirected,409,,1
anthropological theory of the didactic,lesson study,Undirected,410,,1
anthropological theory of the didactic,networking of theories,Undirected,411,,1
anthropological theory of the didactic,praxeological equipment,Undirected,412,,1
anthropological theory of the didactic,praxeological reference model,Undirected,413,,1
anthropological theory of the didactic,reference materials,Undirected,414,,1
anthropological theory of the didactic,study and research path,Undirected,415,,1
anthropological theory of the didactic,theory of didactical situations,Undirected,416,,1
anthropological theory of the didactic,theory of transformative education,Undirected,417,,1
anthropological theory of the didactic (atd),combinatorics,Undirected,418,,1
anthropological theory of the didactic (atd),inquiry-based learning,Undirected,419,,1
anthropological theory of the didactic (atd),klein’s second discontinuity,Undirected,420,,1
anthropological theory of the didactic (atd),mathematics teacher practice,Undirected,421,,1
anthropological theory of the didactic (atd),secondary schools,Undirected,422,,1
anthropological theory of the didactic (atd),textbook analysis,Undirected,423,,1
anthropological theory of the didactic (atd),university mathematics for prospective teachers,Undirected,424,,1
anthropological theory of the didactics,discontinuity,Undirected,425,,1
anthropological theory of the didactics,discourses,Undirected,426,,1
anthropological theory of the didactics,diversity,Undirected,427,,1
anthropological theory of the didactics,mathematics for other disciplines,Undirected,428,,1
anthropological theory of the didactics,mathematics teacher education,Undirected,429,,1
anthropological theory of the didactics,praxeologies.,Undirected,430,,1
anxiety,educational resilience,Undirected,439,,1
anxiety,emotional self-awareness,Undirected,440,,1
anxiety,examinations,Undirected,441,,1
anxiety,prospective mathematics teachers,Undirected,442,,1
anxiety,self-efficacy,Undirected,443,,1
apos,calculus,Undirected,444,,1
apos,integration,Undirected,445,,1
apos,multivariable functions,Undirected,446,,1
apos theory,calculus,Undirected,447,,1
apos theory,infinite series,Undirected,448,,1
apos theory,partial sums,Undirected,449,,1
apos theory,schema,Undirected,450,,1
application tasks,conceptual knowledge,Undirected,451,,1
application tasks,mathematics teachers,Undirected,452,,1
application tasks,mathematics teacher’s specialised knowledge,Undirected,453,,1
application tasks,ratio,Undirected,454,,1
applied mathematics,problem solving,Undirected,455,,1
applied mathematics,pólya,Undirected,456,,1
applied mathematics,real-world problems,Undirected,457,,1
approximation of practice,mathematics teacher education,Undirected,458,,1
approximation of practice,online,Undirected,459,,1
approximation of practice,rehearsals,Undirected,460,,1
approximation of practice,role-playing,Undirected,461,,1
ar,block-based programming,Undirected,462,,1
ar,ct,Undirected,463,,1
ar,secondary mathematics education,Undirected,464,,1
area,computational thinking,Undirected,465,,1
area,diagrams,Undirected,466,,1
area,mathematical problem solving,Undirected,467,,1
area,quadratic,Undirected,468,,1
area,scratch,Undirected,469,,1
area,simulation,Undirected,470,,1
argumentation,artificial intelligence,Undirected,473,,1
argumentation,comparative study,Undirected,474,,1
argumentation,concept formation,Undirected,475,,1
argumentation,continuous fractions,Undirected,476,,1
argumentation,debate,Undirected,477,,1
argumentation,density of q in r,Undirected,478,,1
argumentation,differential equations,Undirected,479,,1
argumentation,discourse analysis,Undirected,480,,1
argumentation,discussion,Undirected,481,,1
argumentation,empirical proof scheme,Undirected,482,,1
argumentation,explanatory function,Undirected,483,,1
argumentation,functions,Undirected,484,,1
argumentation,habermas’ rationality,Undirected,485,,1
argumentation,justification,Undirected,486,,1
argumentation,lakatos,Undirected,487,,1
argumentation,mathematical proof,Undirected,488,,1
argumentation,mathematics classrooms,Undirected,489,,1
argumentation,mediation,Undirected,490,,1
argumentation,paper-folding,Undirected,491,,1
argumentation,perception of shapes,Undirected,492,,1
argumentation,probability,Undirected,493,,1
argumentation,proof,Undirected,494,,1
argumentation,reasoning,Undirected,495,,1
argumentation,recipes,Undirected,496,,1
argumentation,spontaneous conceptions,Undirected,497,,1
argumentation,statistical reasoning,Undirected,498,,1
argumentation,toulmin’s model,Undirected,499,,1
argumentation,upper secondary school,Undirected,500,,1
argumentation,warrant,Undirected,501,,1
argumentations,necessary object-level narratives,Undirected,502,,1
argumentations,primary and middle school,Undirected,503,,1
argumentations,probability,Undirected,504,,1
argumentations,problem solving,Undirected,505,,1
argumentative dialogue,dialogic teaching,Undirected,506,,1
argumentative dialogue,mathematics education,Undirected,507,,1
argumentative dialogue,professional development,Undirected,508,,1
argumentative dialogue,task design,Undirected,509,,1
arithmetic,mathematics education,Undirected,510,,1
arithmetic,structure sense,Undirected,511,,1
arithmetic mean,conceptual focus,Undirected,512,,1
arithmetic mean,conversions,Undirected,513,,1
arithmetic mean,representations,Undirected,514,,1
arithmetic structure,quantitative reasoning,Undirected,515,,1
arithmetic structure,word problem,Undirected,516,,1
arithmetics,assessment,Undirected,520,,1
arithmetics,early mathematics education,Undirected,521,,1
arithmetics,word problems,Undirected,522,,1
arrangement,combinatorics,Undirected,523,,1
arrangement,conceptual understanding,Undirected,524,,1
arrangement,counting problems,Undirected,525,,1
arrangement,word problems,Undirected,526,,1
artefacts,numbers,Undirected,527,,1
artefacts,preschool,Undirected,528,,1
artefacts,teaching actions,Undirected,529,,1
artefacts,variation theory,Undirected,530,,1
artifact,fractions,Undirected,531,,1
artifact,instrument,Undirected,532,,1
artifact,visual representation,Undirected,533,,1
artificial intelligence,chatbots,Undirected,534,,1
artificial intelligence,debate,Undirected,535,,1
artificial intelligence,digital escape game,Undirected,536,,1
artificial intelligence,discussion,Undirected,537,,1
artificial intelligence,explaining,Undirected,538,,1
artificial intelligence,fermi problem,Undirected,539,,1
artificial intelligence,fermi problems,Undirected,540,,1
artificial intelligence,mediation,Undirected,541,,1
artificial intelligence,modelling,Undirected,542,,1
artificial intelligence,multimodality,Undirected,543,,1
artificial intelligence,pre-service teachers,Undirected,544,,1
artificial intelligence,problem posing,Undirected,545,,1
artificial intelligence,problem solving,Undirected,546,,1
artificial intelligence,prompts,Undirected,547,,1
artificial intelligence,semiotic system,Undirected,548,,1
artificial intelligence literacy,five big ideas in ai,Undirected,549,,1
artificial intelligence literacy,human-centered design,Undirected,550,,1
artificial intelligence literacy,instructional strategies,Undirected,551,,1
artificial intelligence literacy,integration methods,Undirected,552,,1
artificial intelligence literacy,mathematics education,Undirected,553,,1
assessment,digital tools,Undirected,554,,1
assessment,early mathematics education,Undirected,555,,1
assessment,embodied design,Undirected,556,,1
assessment,interview study,Undirected,557,,1
assessment,istem,Undirected,558,,1
assessment,mathematical folding,Undirected,559,,1
assessment,mathematical modelling,Undirected,560,,1
assessment,mathematics,Undirected,561,,1
assessment,modelling,Undirected,562,,1
assessment,numeracy,Undirected,563,,1
assessment,piaac,Undirected,564,,1
assessment,portfolio,Undirected,565,,1
assessment,praxeology,Undirected,566,,1
assessment,prison context,Undirected,567,,1
assessment,school algebra,Undirected,568,,1
assessment,second cycle,Undirected,569,,1
assessment,secondary school,Undirected,570,,1
assessment,standardised sssessment,Undirected,571,,1
assessment,students’ learning,Undirected,572,,1
assessment,teacher learning,Undirected,573,,1
assessment,teacher perspective,Undirected,574,,1
assessment,teacher practice,Undirected,575,,1
assessment,teachers beliefs,Undirected,576,,1
assessment,teachers knowledge,Undirected,577,,1
assessment,two-dimensional curriculum,Undirected,578,,1
assessment,word problems,Undirected,579,,1
assessment scoring approach,marking scheme,Undirected,580,,1
assessment scoring approach,mathematical literacy,Undirected,581,,1
assessment scoring approach,rasch analysis,Undirected,582,,1
asymptotes,computer-aided assessment,Undirected,583,,1
asymptotes,example-generation tasks,Undirected,584,,1
asymptotes,graphical assessment,Undirected,585,,1
asymptotes,mathematics education,Undirected,586,,1
asynchronous online pd,collaboration,Undirected,587,,1
asynchronous online pd,representations of practice,Undirected,588,,1
asynchronous online pd,teacher learning,Undirected,589,,1
atd,ecology,Undirected,592,,1
atd,mathematics lecturers,Undirected,593,,1
atd,task design,Undirected,594,,1
attention,epistemic logic,Undirected,595,,1
attention,interaction,Undirected,596,,1
attention,preservice teachers,Undirected,597,,1
attitudes,chat gpt,Undirected,598,,1
attitudes,llm,Undirected,599,,1
attitudes,numerical methods,Undirected,600,,1
attitudes,university mathematics education,Undirected,601,,1
attitudes towards statistics,growth mindset,Undirected,602,,1
attitudes towards statistics,statistics education,Undirected,603,,1
attitudes towards statistics,teacher education,Undirected,604,,1
attribution theory,feedback,Undirected,609,,1
attribution theory,mathematics achievement,Undirected,610,,1
attribution theory,self-efficacy,Undirected,611,,1
augmented reality,elementary school mathematics,Undirected,612,,1
augmented reality,embodied cognition,Undirected,613,,1
augmented reality,mathematics education,Undirected,614,,1
augmented reality,place value,Undirected,615,,1
augmented reality,representations,Undirected,616,,1
augmented reality artificial intelligence,mixed reality,Undirected,617,,1
augmented reality artificial intelligence,virtual reality,Undirected,618,,1
authentic aspects,communities of practice,Undirected,619,,1
authentic aspects,mathematics tasks,Undirected,620,,1
authentic aspects,students’ identity,Undirected,621,,1
authentic aspects,vocational education,Undirected,622,,1
autism spectrum disorder,generalisation,Undirected,623,,1
autism spectrum disorder,inclusion,Undirected,624,,1
autism spectrum disorder,problem-solving,Undirected,625,,1
autism spectrum disorder,teachers’ knowledge,Undirected,626,,1
autistic students,early algebra,Undirected,627,,1
autistic students,repeating patterns,Undirected,628,,1
automated feedback,digital textbooks,Undirected,629,,1
automated feedback,mathematics education,Undirected,630,,1
automated feedback,use of resources,Undirected,631,,1
autopoiesis,biology of cognition,Undirected,632,,1
autopoiesis,experimental epistemology,Undirected,633,,1
autopoiesis,mathematics education,Undirected,634,,1
autopoiesis,structural coupling,Undirected,635,,1
backwash effect,basic competences,Undirected,636,,1
backwash effect,mathematics,Undirected,637,,1
backwash effect,solutions,Undirected,638,,1
backwash effect,statewide exit exams,Undirected,639,,1
basic arithmetic skills,learning support,Undirected,640,,1
basic arithmetic skills,practices,Undirected,641,,1
basic arithmetic skills,prospective teachers,Undirected,642,,1
basic competences,mathematics,Undirected,643,,1
basic competences,solutions,Undirected,644,,1
basic competences,statewide exit exams,Undirected,645,,1
basic facts of multiplication,division,Undirected,646,,1
basic facts of multiplication,elementary school mathematics,Undirected,647,,1
basic facts of multiplication,multiplication,Undirected,648,,1
basic ideas,conceptions,Undirected,649,,1
basic ideas,conversion of units of measurement,Undirected,650,,1
basic ideas,representations,Undirected,651,,1
basic ideas,units of length and mass,Undirected,652,,1
basic mental model,concept image,Undirected,653,,1
basic mental model,conceptual knowledge,Undirected,654,,1
basic mental model,derivative,Undirected,655,,1
bayesian reasoning,risk literacy,Undirected,656,,1
bayesian reasoning,simulations,Undirected,657,,1
becoming a teacher,self-perception,Undirected,658,,1
becoming a teacher,teacher knowledge,Undirected,659,,1
becoming a teacher,teaching experience,Undirected,660,,1
beliefs,beliefs change,Undirected,661,,1
beliefs,cognition,Undirected,662,,1
beliefs,emotions,Undirected,663,,1
beliefs,expectancy-value theory,Undirected,664,,1
beliefs,inclusive education,Undirected,665,,1
beliefs,mathematical world views,Undirected,666,,1
beliefs,middle school,Undirected,667,,1
beliefs,motivation,Undirected,668,,1
beliefs,personal epistemology,Undirected,669,,1
beliefs,proof,Undirected,670,,1
beliefs,proof construction,Undirected,671,,1
beliefs,roles,Undirected,672,,1
beliefs,secondary mathematics,Undirected,673,,1
beliefs,secondary-tertiary transition,Undirected,674,,1
beliefs,special educational,Undirected,675,,1
beliefs,subjective relevance of mathematics education,Undirected,676,,1
beliefs,survey,Undirected,677,,1
beliefs,teachers'-knowledge,Undirected,678,,1
beliefs,values,Undirected,679,,1
beliefs,word problems,Undirected,680,,1
beliefs change,mathematical world views,Undirected,681,,1
beliefs change,teacher education,Undirected,682,,1
benchmarks,estimation,Undirected,683,,1
benchmarks,fermi problems,Undirected,684,,1
beyond failure-and-success,bodies,Undirected,685,,1
beyond failure-and-success,concepts,Undirected,686,,1
beyond failure-and-success,creating together,Undirected,687,,1
beyond failure-and-success,early mathematics education,Undirected,688,,1
