Id,Label,Degree,Weighted Degree,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,X,Y,Z,Size,Color
sustainability,sustainability,11,13,4,5,0.307036,0.327035,5851.712281,0.045093,0.045093,0.001254,0,0.834143,0.670132,0.811394,0.09375,"#6cc5b0"
evaluation,evaluation,10,11,3,6,0.247674,0.26445,4714.787087,0.004366,0.004366,0.001302,0,0.50453,0.098695,0.819381,0.078125,"#ff725c"
stack,stack,6,7,3,7,0.218125,0.228427,509.247586,0.001139,0.001139,0.000855,0,0.523641,0.166154,0.882537,0.046875,"#ff725c"
mathematics,mathematics,56,61,2,5,0.35465,0.396331,69372.686466,0.198586,0.198586,0.006391,0,0.450112,0.809616,0.381623,0.46875,"#4269d0"
professional learning,professional learning,14,15,1,6,0.294469,0.319785,8367.471759,0.057743,0.057742,0.001783,0,0.729884,0.414725,0.785246,0.109375,"#efb118"
functional thinking,functional thinking,9,10,4,6,0.290294,0.309805,4908.820049,0.028351,0.028351,0.001073,0,0.896806,0.629879,0.861853,0.070312,"#6cc5b0"
functions,functions,22,23,4,5,0.310836,0.337691,24509.05993,0.044668,0.044667,0.002475,0,0.836505,0.717519,0.666815,0.171875,"#6cc5b0"
geometry,geometry,51,53,2,5,0.350448,0.38694,98629.103998,0.138525,0.138525,0.005922,0,0.557749,0.788978,0.202435,0.40625,"#4269d0"
secondary school mathematics,secondary school mathematics,18,19,2,5,0.289915,0.312898,12820.700995,0.031168,0.031168,0.002267,0,0.326295,0.856542,0.715215,0.140625,"#4269d0"
inclusion,inclusion,25,26,3,6,0.305556,0.333246,24630.730236,0.044126,0.044126,0.002765,0,0.450454,0.100305,0.677976,0.195312,"#ff725c"
visual impairments,visual impairments,6,7,3,6,0.268023,0.284085,242.697515,0.012113,0.012113,0.000708,0,0.530393,0.154583,0.888624,0.046875,"#ff725c"
initial teacher education,initial teacher education,8,9,1,6,0.275227,0.293777,2190.115581,0.021616,0.021616,0.001009,0,0.587869,0.523017,0.860127,0.0625,"#efb118"
interactions,interactions,5,6,1,6,0.231801,0.243752,183.834461,0.002964,0.002964,0.000689,0,0.644231,0.576134,0.908324,0.039062,"#efb118"
positioning theory,positioning theory,7,8,1,6,0.234249,0.247558,850.865935,0.003198,0.003198,0.000931,0,0.587687,0.390905,0.866705,0.054688,"#efb118"
language,language,13,15,4,6,0.252131,0.26872,7866.018102,0.007029,0.007029,0.001661,0,0.868269,0.672897,0.777502,0.109375,"#6cc5b0"
multilingualism,multilingualism,6,8,4,6,0.243728,0.256073,3.333333,0.005432,0.005432,0.000789,0,0.81937,0.66454,0.884685,0.054688,"#6cc5b0"
whole-class discussion,whole-class discussion,5,7,1,6,0.267323,0.284949,27.653441,0.021646,0.021646,0.00062,0,0.708982,0.593574,0.908413,0.046875,"#efb118"
mathematical literacy,mathematical literacy,16,17,2,6,0.295712,0.318044,13711.494272,0.040025,0.040025,0.002215,0,0.593616,0.686802,0.724792,0.125,"#4269d0"
numeracy,numeracy,21,22,2,6,0.270364,0.290834,11688.041647,0.015523,0.015523,0.002829,0,0.460164,0.778693,0.651216,0.164062,"#4269d0"
secondary teacher education,secondary teacher education,9,10,1,6,0.264981,0.281355,3957.106896,0.012499,0.012499,0.001182,0,0.707569,0.367173,0.840667,0.070312,"#efb118"
preschool,preschool,18,20,5,6,0.273082,0.296193,6964.807628,0.026612,0.026612,0.002144,0,0.672493,0.079914,0.701606,0.148438,"#97bbf5"
perceived difficulty,perceived difficulty,7,8,2,6,0.305626,0.326058,338.584089,0.057361,0.057362,0.000819,0,0.376325,0.633618,0.874633,0.054688,"#4269d0"
problem solving,problem solving,48,49,2,5,0.346254,0.383283,63976.384575,0.140732,0.140732,0.005523,0,0.410364,0.776024,0.410412,0.375,"#4269d0"
research methods,research methods,6,7,2,6,0.289159,0.306937,4.733333,0.038715,0.038716,0.0008,0,0.60769,0.780264,0.896859,0.046875,"#4269d0"
sustainable development goals,sustainable development goals,5,6,2,6,0.289726,0.307375,5.825397,0.036192,0.036192,0.000686,0,0.60426,0.7247,0.920467,0.039062,"#4269d0"
teacher noticing,teacher noticing,19,21,2,6,0.317737,0.346769,11644.738594,0.093529,0.093529,0.002347,0,0.471054,0.728963,0.72876,0.15625,"#4269d0"
mathematics teacher educators,mathematics teacher educators,9,10,1,7,0.275227,0.294607,6429.936571,0.019494,0.019494,0.001246,0,0.707569,0.393173,0.840103,0.070312,"#efb118"
noticing,noticing,23,24,1,6,0.295057,0.323754,13100.409358,0.063981,0.063981,0.002738,0,0.671182,0.471007,0.647761,0.179688,"#efb118"
play-responsive teaching,play-responsive teaching,7,8,5,6,0.269161,0.287203,1621.853909,0.018771,0.018771,0.000865,0,0.698723,0.158853,0.876787,0.054688,"#97bbf5"
preservice teachers,preservice teachers,38,40,2,5,0.322432,0.355585,38696.208764,0.090169,0.090169,0.004795,0,0.429165,0.708956,0.504769,0.304688,"#4269d0"
task design,task design,44,45,2,5,0.34752,0.383133,43472.945142,0.16074,0.16074,0.005079,0,0.486345,0.792095,0.329763,0.34375,"#4269d0"
statistics education,statistics education,9,10,1,6,0.274037,0.293989,5341.498951,0.024394,0.024394,0.001186,0,0.692396,0.367173,0.840842,0.070312,"#efb118"
video case,video case,7,8,2,6,0.268239,0.285136,385.167967,0.022562,0.022562,0.000852,0,0.355234,0.645665,0.874968,0.054688,"#4269d0"
(pre-)structuralist praxeologies,(pre-)structuralist praxeologies,4,4,0,7,0.218627,0.231074,0,0.000984,0.000984,0.000569,0,0.407266,0.432299,0.922339,0.023438,"#ff8ab7"
continuity,continuity,8,8,0,7,0.231882,0.247336,2265.659245,0.002288,0.002288,0.001039,0,0.301025,0.46125,0.85915,0.054688,"#ff8ab7"
path-connectedness,path-connectedness,4,4,0,7,0.218627,0.231074,0,0.000984,0.000984,0.000569,0,0.419102,0.432299,0.92221,0.023438,"#ff8ab7"
real analysis,real analysis,4,4,0,7,0.218627,0.231074,0,0.000984,0.000984,0.000569,0,0.413184,0.442441,0.921292,0.023438,"#ff8ab7"
20th century,20th century,4,4,4,6,0.250188,0.262046,0,0.007353,0.007353,0.000531,0,0.788143,0.748265,0.916423,0.023438,"#6cc5b0"
curricula,curricula,4,4,4,6,0.250188,0.262046,0,0.007353,0.007353,0.000531,0,0.794062,0.758406,0.911941,0.023438,"#6cc5b0"
middle school,middle school,11,11,4,6,0.298564,0.318645,4072.389749,0.041232,0.041232,0.001252,0,0.858395,0.742259,0.833085,0.078125,"#6cc5b0"
professional education,professional education,4,4,4,6,0.250188,0.262046,0,0.007353,0.007353,0.000531,0,0.79998,0.748265,0.912053,0.023438,"#6cc5b0"
3d design,3d design,4,4,2,7,0.250848,0.264604,0,0.011431,0.011431,0.00058,0,0.620727,0.864847,0.929827,0.023438,"#4269d0"
3d printing,3d printing,4,4,2,7,0.250848,0.264604,0,0.011431,0.011431,0.00058,0,0.614809,0.874989,0.931668,0.023438,"#4269d0"
curvature,curvature,4,4,2,7,0.250848,0.264604,0,0.011431,0.011431,0.00058,0,0.614809,0.854706,0.920899,0.023438,"#4269d0"
intrinsic geometry,intrinsic geometry,4,4,2,7,0.250848,0.264604,0,0.011431,0.011431,0.00058,0,0.60889,0.864847,0.93182,0.023438,"#4269d0"
3d design and printing,3d design and printing,3,3,3,6,0.250518,0.264125,0,0.006279,0.006279,0.000458,0,0.59079,0.083929,0.934692,0.015625,"#ff725c"
low achievers,low achievers,3,3,3,6,0.250518,0.264125,0,0.006279,0.006279,0.000458,0,0.602071,0.083929,0.9349,0.015625,"#ff725c"
opportunities to learn,opportunities to learn,7,7,3,6,0.256208,0.271663,2007.885429,0.007057,0.007057,0.000944,0,0.510136,0.143012,0.878305,0.046875,"#ff725c"
3d virtual models,3d virtual models,4,4,4,7,0.217697,0.228308,0,0.001443,0.001443,0.000592,0,0.736669,0.762467,0.927515,0.023438,"#6cc5b0"
animation,animation,4,4,4,7,0.217697,0.228308,0,0.001443,0.001443,0.000592,0,0.730751,0.752326,0.930647,0.023438,"#6cc5b0"
geogebra,geogebra,21,21,4,6,0.278045,0.301165,25835.556725,0.017823,0.017823,0.002523,0,0.860777,0.649766,0.672124,0.15625,"#6cc5b0"
straight-line helicoids,straight-line helicoids,4,4,4,7,0.217697,0.228308,0,0.001443,0.001443,0.000592,0,0.730751,0.772609,0.928938,0.023438,"#6cc5b0"
visuospatial abilities,visuospatial abilities,4,4,4,7,0.217697,0.228308,0,0.001443,0.001443,0.000592,0,0.724833,0.762467,0.931195,0.023438,"#6cc5b0"
3d-printing,3d-printing,7,7,1,7,0.218591,0.231128,604.068985,0.002564,0.002564,0.000973,0,0.735992,0.593574,0.865333,0.046875,"#efb118"
3dmp,3dmp,4,4,1,8,0.214366,0.225255,0,0.002025,0.002025,0.000575,0,0.666251,0.257148,0.918108,0.023438,"#efb118"
debugging,debugging,3,3,1,7,0.202711,0.210982,0,0.000697,0.000697,0.000487,0,0.856138,0.35657,0.932425,0.015625,"#efb118"
design-based research,design-based research,7,7,1,6,0.248506,0.262935,2718.064975,0.007429,0.007429,0.000971,0,0.729239,0.558861,0.862599,0.046875,"#efb118"
dynamic manipulation,dynamic manipulation,3,3,1,7,0.202711,0.210982,0,0.000697,0.000697,0.000487,0,0.844858,0.35657,0.931677,0.015625,"#efb118"
interview,interview,4,4,1,8,0.214366,0.225255,0,0.002025,0.002025,0.000575,0,0.678087,0.257148,0.917885,0.023438,"#efb118"
manipulatives,manipulatives,8,8,1,7,0.270034,0.289761,4337.074589,0.022187,0.022187,0.001038,0,0.594717,0.402953,0.856297,0.054688,"#efb118"
tpack,tpack,8,8,1,7,0.21895,0.232092,183.874138,0.004299,0.004299,0.001055,0,0.601748,0.390905,0.85096,0.054688,"#efb118"
3d-techno-pedagogical integration matrix,3d-techno-pedagogical integration matrix,4,4,1,7,0.218197,0.229299,0,0.002538,0.002538,0.000572,0,0.650146,0.231582,0.917095,0.023438,"#efb118"
mathematical quality of instruction,mathematical quality of instruction,4,4,1,7,0.218197,0.229299,0,0.002538,0.002538,0.000572,0,0.63831,0.231582,0.918105,0.023438,"#efb118"
pre-service mathematics teachers,pre-service mathematics teachers,11,11,1,6,0.278452,0.300476,5839.765074,0.029573,0.029573,0.001351,0,0.626765,0.41023,0.793608,0.078125,"#efb118"
samr model,samr model,4,4,1,7,0.218197,0.229299,0,0.002538,0.002538,0.000572,0,0.644228,0.241723,0.917097,0.023438,"#efb118"
6th grade students,6th grade students,3,3,2,6,0.294339,0.312259,0,0.038969,0.038969,0.000429,0,0.220996,0.739065,0.937174,0.015625,"#4269d0"
programmable robots,programmable robots,3,3,2,6,0.294339,0.312259,0,0.038969,0.038969,0.000429,0,0.232276,0.739065,0.935718,0.015625,"#4269d0"
abstraction,abstraction,14,14,2,6,0.282171,0.302792,11255.988074,0.031172,0.031172,0.001736,0,0.448308,0.690836,0.767556,0.101562,"#4269d0"
ar,ar,4,4,6,7,0.22187,0.232235,0,0.002599,0.002599,0.000564,0,0.081298,0.149262,0.918118,0.023438,"#3ca951"
block-based programming,block-based programming,4,4,6,7,0.22187,0.232235,0,0.002599,0.002599,0.000564,0,0.087216,0.159404,0.917902,0.023438,"#3ca951"
concretion,concretion,4,4,2,7,0.220218,0.230044,0,0.002524,0.002524,0.000602,0,0.614303,0.931744,0.920739,0.023438,"#4269d0"
craft,craft,4,4,2,7,0.220218,0.230044,0,0.002524,0.002524,0.000602,0,0.608385,0.941886,0.920382,0.023438,"#4269d0"
ct,ct,4,4,6,7,0.22187,0.232235,0,0.002599,0.002599,0.000564,0,0.093135,0.149262,0.915134,0.023438,"#3ca951"
embodied cognition,embodied cognition,12,12,2,6,0.306541,0.328537,13986.215845,0.043083,0.043083,0.001683,0,0.405179,0.713592,0.785444,0.085938,"#4269d0"
experience,experience,4,4,2,7,0.220218,0.230044,0,0.002524,0.002524,0.000602,0,0.608385,0.921603,0.919938,0.023438,"#4269d0"
field of promoted actions,field of promoted actions,3,3,2,6,0.261339,0.276321,0,0.013864,0.013864,0.000436,0,0.280549,0.809417,0.931463,0.015625,"#4269d0"
making,making,4,4,2,7,0.220218,0.230044,0,0.002524,0.002524,0.000602,0,0.602467,0.931744,0.921732,0.023438,"#4269d0"
mathematical thinking,mathematical thinking,3,3,2,6,0.266094,0.280766,0,0.017904,0.017904,0.000408,0,0.289828,0.733792,0.937069,0.015625,"#4269d0"
secondary mathematics education,secondary mathematics education,9,9,6,6,0.230756,0.243752,1332.698011,0.003523,0.003523,0.001125,0,0.125199,0.165486,0.83533,0.0625,"#3ca951"
academic motivation,academic motivation,3,3,3,7,0.20006,0.207814,0,0.000511,0.000511,0.000562,0,0.557429,0.09129,0.937197,0.015625,"#ff725c"
goal structures,goal structures,3,3,3,7,0.20006,0.207814,0,0.000511,0.000511,0.000562,0,0.546149,0.09129,0.936218,0.015625,"#ff725c"
lower secondary school,lower secondary school,7,7,3,6,0.249953,0.264889,3984,0.006826,0.006825,0.001073,0,0.510136,0.166154,0.870589,0.046875,"#ff725c"
mathematics-related affect,mathematics-related affect,3,3,3,7,0.20006,0.207814,0,0.000511,0.000511,0.000562,0,0.551789,0.100955,0.935566,0.015625,"#ff725c"
achievement test,achievement test,4,4,1,6,0.235159,0.247571,0,0.004353,0.004353,0.00057,0,0.592454,0.262992,0.916836,0.023438,"#efb118"
covid-19 pandemic,covid-19 pandemic,4,4,1,6,0.235159,0.247571,0,0.004353,0.004353,0.00057,0,0.598373,0.273133,0.919439,0.023438,"#efb118"
mathematics achievement,mathematics achievement,12,12,1,6,0.281217,0.302993,6742.436294,0.026931,0.026931,0.001526,0,0.651881,0.502876,0.798327,0.085938,"#efb118"
pre-course mathematics,pre-course mathematics,4,4,1,6,0.235159,0.247571,0,0.004353,0.004353,0.00057,0,0.604291,0.262992,0.911731,0.023438,"#efb118"
action research,action research,6,6,1,7,0.265881,0.283637,3984,0.020887,0.020887,0.000915,0,0.637757,0.565039,0.885437,0.039062,"#efb118"
adult learning,adult learning,3,3,1,8,0.210136,0.219085,0,0.001565,0.001565,0.00056,0,0.848087,0.386074,0.937395,0.015625,"#efb118"
change agents,change agents,3,3,1,7,0.265722,0.28251,0,0.0206,0.0206,0.000443,0,0.809895,0.475855,0.937829,0.015625,"#efb118"
disadvantaged communities,disadvantaged communities,3,3,1,8,0.210136,0.219085,0,0.001565,0.001565,0.00056,0,0.842447,0.376409,0.936257,0.015625,"#efb118"
mathematics teacher educator,mathematics teacher educator,16,16,1,6,0.297763,0.32557,6570.437397,0.066866,0.066866,0.001902,0,0.650832,0.467081,0.737707,0.117188,"#efb118"
re-engagement,re-engagement,3,3,1,8,0.210136,0.219085,0,0.001565,0.001565,0.00056,0,0.853727,0.376409,0.936243,0.015625,"#efb118"
active learning,active learning,3,3,7,6,0.221796,0.233146,0,0.001198,0.001198,0.000461,0,0.088764,0.554617,0.935888,0.015625,"#a463f2"
commognition,commognition,21,21,7,6,0.256159,0.277548,15796.993106,0.006396,0.006396,0.00284,0,0.165353,0.487175,0.661309,0.15625,"#a463f2"
inter-community partnerships,inter-community partnerships,3,3,7,6,0.221796,0.233146,0,0.001198,0.001198,0.000461,0,0.100045,0.554617,0.934294,0.015625,"#a463f2"
activity theory,activity theory,4,4,1,6,0.262421,0.278012,0,0.014226,0.014226,0.00052,0,0.583776,0.291551,0.925391,0.023438,"#efb118"
inquiry-based learning,inquiry-based learning,11,11,3,6,0.2766,0.297095,5621.139614,0.021422,0.021422,0.001305,0,0.488801,0.098695,0.820598,0.078125,"#ff725c"
manifestations of contradictions,manifestations of contradictions,4,4,1,6,0.262421,0.278012,0,0.014226,0.014226,0.00052,0,0.595613,0.291551,0.92071,0.023438,"#efb118"
pre-service teachers,pre-service teachers,40,40,4,6,0.326146,0.358465,35500.887586,0.085579,0.085579,0.004607,0,0.856561,0.699445,0.404521,0.304688,"#6cc5b0"
problem posing,problem posing,27,27,1,5,0.330027,0.361433,22555.721515,0.097114,0.097114,0.003114,0,0.662458,0.449108,0.555926,0.203125,"#efb118"
actual and designated identity,actual and designated identity,3,3,2,6,0.275684,0.294478,0,0.028011,0.028011,0.000415,0,0.218677,0.701446,0.946049,0.015625,"#4269d0"
adam ries,adam ries,3,3,2,6,0.242839,0.254007,0,0.00422,0.00422,0.000468,0,0.326008,0.797482,0.931425,0.015625,"#4269d0"
history of mathematics education,history of mathematics education,3,3,2,6,0.242839,0.254007,0,0.00422,0.00422,0.000468,0,0.314728,0.797482,0.930371,0.015625,"#4269d0"
textbook research,textbook research,9,9,2,5,0.311054,0.332482,6722.93783,0.04502,0.045021,0.001146,0,0.418947,0.882545,0.842684,0.0625,"#4269d0"
early mathematics,early mathematics,4,4,5,7,0.235993,0.248379,0,0.004865,0.004865,0.00057,0,0.716672,0.086739,0.914295,0.023438,"#97bbf5"
adaptive expertise,adaptive expertise,4,4,7,6,0.238445,0.250826,0,0.004901,0.004901,0.000548,0,0.233704,0.516618,0.921876,0.023438,"#a463f2"
equations,equations,13,13,7,6,0.262836,0.282131,8214.073278,0.011691,0.011691,0.001713,0,0.146676,0.518154,0.775221,0.09375,"#a463f2"
eye-tracking,eye-tracking,14,14,7,6,0.29343,0.317042,8313.217755,0.037755,0.037755,0.001704,0,0.155242,0.50349,0.762812,0.101562,"#a463f2"
idiosyncratic structures,idiosyncratic structures,4,4,7,6,0.238445,0.250826,0,0.004901,0.004901,0.000548,0,0.221867,0.516618,0.917664,0.023438,"#a463f2"
solving strategies,solving strategies,8,8,7,6,0.279798,0.296569,2095.026451,0.020873,0.020873,0.000972,0,0.150488,0.567403,0.853307,0.054688,"#a463f2"
adaptive teaching,adaptive teaching,4,4,1,7,0.268509,0.286004,0,0.021416,0.021416,0.000575,0,0.636965,0.336321,0.918476,0.023438,"#efb118"
diagnostic judgment,diagnostic judgment,4,4,1,7,0.268509,0.286004,0,0.021416,0.021416,0.000575,0,0.642883,0.346463,0.919463,0.023438,"#efb118"
early arithmetic education,early arithmetic education,4,4,1,7,0.268509,0.286004,0,0.021416,0.021416,0.000575,0,0.636965,0.356604,0.921709,0.023438,"#efb118"
vignettes,vignettes,4,4,1,7,0.268509,0.286004,0,0.021416,0.021416,0.000575,0,0.631046,0.346463,0.922777,0.023438,"#efb118"
adaptivity,adaptivity,4,4,2,6,0.242662,0.254583,0,0.005611,0.005611,0.000577,0,0.48324,0.899756,0.925488,0.023438,"#4269d0"
asynchronous online pd,asynchronous online pd,4,4,2,6,0.242662,0.254583,0,0.005611,0.005611,0.000577,0,0.495077,0.899756,0.916855,0.023438,"#4269d0"
representations of practice,representations of practice,4,4,2,6,0.242662,0.254583,0,0.005611,0.005611,0.000577,0,0.489159,0.909897,0.917065,0.023438,"#4269d0"
teacher learning,teacher learning,12,12,2,6,0.28027,0.300814,7280.05868,0.021978,0.021978,0.00164,0,0.397036,0.727545,0.801602,0.085938,"#4269d0"
addition,addition,4,4,3,8,0.191373,0.199043,0,0.000279,0.000279,0.000654,0,0.308053,0.075901,0.934487,0.023438,"#ff725c"
counting,counting,7,7,3,7,0.236496,0.250102,5308,0.003444,0.003444,0.001023,0,0.537146,0.166154,0.886272,0.046875,"#ff725c"
microgenetic,microgenetic,4,4,3,8,0.191373,0.199043,0,0.000279,0.000279,0.000654,0,0.313972,0.086042,0.937618,0.023438,"#ff725c"
subitising,subitising,4,4,3,8,0.191373,0.199043,0,0.000279,0.000279,0.000654,0,0.302135,0.086042,0.937069,0.023438,"#ff725c"
variability,variability,4,4,3,8,0.191373,0.199043,0,0.000279,0.000279,0.000654,0,0.308053,0.096184,0.933729,0.023438,"#ff725c"
additional educational needs,additional educational needs,3,3,4,7,0.196081,0.202846,0,0.000368,0.000368,0.000543,0,0.928394,0.725116,0.939058,0.015625,"#6cc5b0"
bilingualism,bilingualism,7,7,4,6,0.243773,0.256449,3984,0.004908,0.004908,0.001008,0,0.860374,0.621593,0.87393,0.046875,"#6cc5b0"
clil,clil,3,3,4,7,0.196081,0.202846,0,0.000368,0.000368,0.000543,0,0.922753,0.715451,0.939718,0.015625,"#6cc5b0"
summative mathematics assessments,summative mathematics assessments,3,3,4,7,0.196081,0.202846,0,0.000368,0.000368,0.000543,0,0.934034,0.715451,0.938668,0.015625,"#6cc5b0"
additive problems,additive problems,4,4,2,6,0.243996,0.257413,0,0.007302,0.007302,0.000607,0,0.635089,0.966674,0.925508,0.023438,"#4269d0"
decision level,decision level,4,4,2,6,0.243996,0.257413,0,0.007302,0.007302,0.000607,0,0.62917,0.956532,0.925137,0.023438,"#4269d0"
decision-making,decision-making,4,4,2,6,0.243996,0.257413,0,0.007302,0.007302,0.000607,0,0.641007,0.956532,0.915067,0.023438,"#4269d0"
